#id,name,icon,r1,g1,b1,r2,g2,b2,gltf,ddsd,ddsc,haircutting,
-1,없음,-1,0,0,0,0,0,0,
11400001,초보자 운동복,11400001,63,59,51,20,18,15,11400001_F_BasicSportwearTop.gltf,11400001_f_basicsportweartop_d.png,11400001_f_basicsportweartop_c.png,0,
11400002,캐쥬얼 후드 티,11400002,63,59,51,20,18,15,11400002_F_CasualShortsleeveHood.gltf,11400002_f_casualshortsleevehood_d.png,11400002_f_casualshortsleevehood_c.png,0,
11400003,가죽 흉갑,11400003,63,59,51,20,18,15,11400014_F_ProbationWarrior.gltf,11400014_f_probationwarrior_d.png,11400014_f_probationwarrior_c.png,0,
11400004,포인트 가죽 흉갑,11400004,63,59,51,20,18,15,11400003_F_BronzeWarrior.gltf,11400003_f_bronzewarrior_d.png,11400003_f_bronzewarrior_c.png,0,
11400005,스파이크 가죽 흉갑,11400005,63,59,51,20,18,15,11400004_F_RollingThunderSpike.gltf,11400004_f_rollingthunderspike_d.png,11400004_f_rollingthunderspike_c.png,0,
11400006,투박한 바이킹 아머,11400006,63,59,51,20,18,15,11400005_F_LittleBone.gltf,11400005_f_littlebone_d.png,11400005_f_littlebone_c.png,0,
11400007,캐리비안 아머,11400007,63,59,51,20,18,15,11400006_F_Viking.gltf,11400006_f_viking_d.png,11400006_f_viking_c.png,0,
11400008,크란츠 아머,11400008,63,59,51,20,18,15,11400005_F_LittleBone.gltf,11400005_f_littlebone_d.png,11400005_f_littlebone_c.png,0,
11400009,좀도둑 베스트,11400009,63,59,51,20,18,15,11400028_F_ProbationThief.gltf,11400028_f_probationthief_d.png,11400028_m_probationthief_c.png,0,
11400010,가죽 좀도둑 베스트,11400010,63,59,51,20,18,15,11400013_F_ProbationThief.gltf,11400013_f_probationthief_d.png,11400028_m_probationthief_c.png,0,
11400011,세련된 좀도둑 베스트,11400011,63,59,51,20,18,15,11400029_F_BlackEyeGoldline.gltf,11400029_f_blackeyegoldline_d.png,11400029_f_blackeyegoldline_c.png,0,
11400012,닌자 도복 상의,11400012,63,59,51,20,18,15,11400030_F_Junior.gltf,11400030_f_junior_d.png,11400030_f_junior_c.png,0,
11400013,가죽 닌자 도복 상의,11400013,63,59,51,20,18,15,11400031_F_FirstDegree.gltf,11400031_f_firstdegree_d.png,11400031_f_firstdegree_c.png,0,
11400014,자객 상의,11400014,63,59,51,20,18,15,11400030_F_Junior.gltf,11400030_f_junior_d.png,11400030_f_junior_c.png,0,
11400015,해적 재킷,11400015,63,59,51,20,18,15,11400033_F_CLPirateJacket.gltf,11400033_f_clpiratejacket_d.png,11400033_f_clpiratejacket_c.png,0,
11400016,숙련 자객 재킷,11400016,63,59,51,20,18,15,11400031_F_FirstDegree.gltf,11400031_f_firstdegree_d.png,11400031_f_firstdegree_c.png,0,
11400017,십자 해적 재킷,11400017,63,59,51,20,18,15,11400035_F_CLCrossPirate.gltf,11400035_f_clcrosspirate_d.png,11400035_f_clcrosspirate_c.png,0,
11400018,숲지기 수렵복,11400018,63,59,51,20,18,15,11400011_F_ProbationRanger.gltf,11400011_f_probationranger_d.png,11400011_f_probationranger_c.png,0,
11400019,금빛 숲지기 수렵복,11400019,63,59,51,20,18,15,11400017_F_LeatherFeather.gltf,11400017_f_leatherfeather_d.png,11400017_f_leatherfeather_c.png,0,
11400020,로빈훗 수렵복,11400020,63,59,51,20,18,15,11400018_F_HelenaEagleEye.gltf,11400018_f_helenaeagleeye_d.png,11400018_f_helenaeagleeye_c.png,0,
11400021,스트라이프 티 (남),11400021,147,226,242,89,153,165,01400011_M_StripeTee.gltf,01400011_m_stripetee_d.png,01400011_m_stripetee_c.png,0,
11400022,리본 민소매 티 (여),11400022,239,112,145,153,66,82,01400012_F_RibbonSleeveless.gltf,01400012_f_ribbonsleeveless_d.png,01400012_f_ribbonsleeveless_c.png,0,
11400023,물방울 스카프 티셔츠,11400023,63,59,51,20,18,15,11450022_F_CLRainDropScarp.gltf,11450022_f_clraindropscarp_d.png,11450022_f_clraindropscarp_c.png,0,
11400024,디자인 티셔츠 (남),11400024,63,59,51,20,18,15,01400009_M_UGC01.gltf,01400009_m_ugc01_d.png,01400009_m_ugc01_d.png,0,
11400025,디자인 티셔츠 (여),11400025,63,59,51,20,18,15,01400010_F_UGC01.gltf,01400010_f_ugc01_d.png,01400010_f_ugc01_d.png,0,
11400026,디자인 쫄티 (남),11400026,63,59,51,20,18,15,01400009_M_UGC02.gltf,01400009_m_ugc02_d.png,01400009_m_ugc02_d.png,0,
11400027,디자인 쫄티 (여),11400027,63,59,51,20,18,15,01400010_F_UGC02.gltf,01400010_f_ugc02_d.png,01400010_f_ugc02_d.png,0,
11400028,유치원 상의 (남),11400028,180,165,248,108,96,176,01400001_M_Preschool.gltf,01400001_m_preschool_d.png,01400001_m_preschool_c.png,0,
11400029,유치원 상의 (여),11400029,180,165,248,108,96,176,01400002_F_Preschool.gltf,01400002_f_preschool_d.png,01400002_f_preschool_c.png,0,
11400030,럭셔리 교복 재킷 (남),11400030,158,83,63,68,31,19,01400007_M_PrestigiousSchool.gltf,01400007_m_prestigiousschool_d.png,01400007_m_prestigiousschool_c.png,0,
11400031,럭셔리 교복 재킷 (여),11400031,158,83,63,68,31,19,01400008_F_PrestigiousSchool.gltf,01400008_f_prestigiousschool_d.png,01400008_f_prestigiousschool_c.png,0,
11400032,메이플 스타 야구 점퍼 (남),11400032,76,105,181,23,40,79,01400005_M_MapleStarBaseball.gltf,01400005_m_maplestarbaseball_d.png,01400005_m_maplestarbaseball_c.png,0,
11400033,메이플 스타 야구 점퍼 (여),11400033,255,168,203,205,86,106,01400006_F_MapleStarBaseball.gltf,01400006_f_maplestarbaseball_d.png,01400006_f_maplestarbaseball_c.png,0,
11400034,마린 티셔츠 (남),11400034,62,73,117,27,26,48,01400013_M_Marine.gltf,01400013_m_marine_d.png,01400013_m_marine_c.png,0,
11400035,마린 티셔츠 (여),11400035,62,73,117,27,26,48,01400014_F_RibbonMarine.gltf,01400014_f_ribbonmarine_d.png,01400014_f_ribbonmarine_c.png,0,
11400036,승무원 재킷 (남),11400036,76,105,181,23,40,79,01400015_M_CaptainJacket.gltf,01400015_m_captainjacket_d.png,01400015_m_captainjacket_c.png,0,
11400037,승무원 재킷 (여),11400037,76,105,181,23,40,79,01400016_F_CrewJacket.gltf,01400016_f_crewjacket_d.png,01400016_f_crewjacket_c.png,0,
11400038,줄무늬 해골 셔츠 (남),11400038,170,47,47,96,19,19,01400017_M_StripeSkeleton.gltf,01400017_m_stripeskeleton_d.png,01400017_m_stripeskeleton_c.png,0,
11400042,레이어드 라운드 티 (남),11400042,147,226,242,89,153,165,11450029_M_CLLayeredRound.gltf,11450029_m_layeredround_d.png,11450029_m_layeredround_c.png,0,
11400043,퍼플 숏 점퍼 (남),11400043,133,81,165,53,42,71,11450030_M_CLBlackShortJumper.gltf,11450030_m_blackshortjumper_d.png,11450030_m_blackshortjumper_c.png,0,
11400044,트레이닝 져지 (남),11400044,194,209,96,64,104,54,11450023_M_CLTraining.gltf,11450023_c_cltraining_d.png,11450023_m_cltraining_c.png,0,
11400045,트레이닝 져지 (여),11400045,194,209,96,64,104,54,11450023_F_CLTraining.gltf,11450023_c_cltraining_d.png,11450023_f_cltraining_c.png,0,
11400046,썸머 묶음 셔츠 (여),11400046,180,165,248,108,96,176,11450024_F_CLTieUpShirts.gltf,11450024_f_cltieupshirts_d.png,11450024_f_cltieupshirts_c.png,0,
11400047,클로이즈 베스트,11400047,63,59,51,20,18,15,11450025_F_CLPaddingVestHood.gltf,11450025_f_clpaddingvesthood_d.png,11450025_c_clpaddingvesthood_c.png,0,
11400048,다크 스위프트,11400048,63,59,51,20,18,15,11400042_F_CLDarkSwift.gltf,11400042_f_cldarkswift_d.png,11400042_f_cldarkswift_c.png,0,
11400049,십자군 서전트,11400049,63,59,51,20,18,15,11400049_F_CLCrusadesSergeant.gltf,11400049_f_clcrusadessergeant_d.png,11400051_f_clgoldencrusadessergeant_c.png,0,
11400050,은빛 크란츠 서전트,11400050,63,59,51,20,18,15,11400006_F_Viking.gltf,11400006_f_viking_d.png,11400006_f_viking_c.png,0,
11400051,금빛 십자군 서전트,11400051,63,59,51,20,18,15,11400051_F_CLGoldenCrusadesSergeant.gltf,11400051_f_clgoldencrusadessergeant_d.png,11400051_f_clgoldencrusadessergeant_c.png,0,
11400052,벨벳 상의,11400052,63,59,51,20,18,15,11400040_F_CLVelvetTunic.gltf,11400040_f_clvelvettunic_d.png,11400040_f_clvelvettunic_c.png,0,
11400053,큐빅 벨벳 상의,11400053,63,59,51,20,18,15,11400041_F_CLCubicVelvet.gltf,11400041_f_clcubicvelvet_d.png,11400041_f_clcubicvelvet_c.png,0,
11400054,쉐도우 스파이크 베스트,11400054,63,59,51,20,18,15,11400054_F_ShadowSpike.gltf,11400054_f_shadowspike_d.png,11400054_f_shadowspike_c.png,0,
11400055,디멘티드 숄더 메일,11400055,63,59,51,20,18,15,11400055_F_CLDementedShoulderMale.gltf,11400055_f_cldementedshouldermale_d.png,11400055_f_cldementedshouldermale_c.png,0,
11400056,운영자 상의 (여),11400056,63,59,51,20,18,15,11400056_F_CLGm.gltf,11400056_f_clgm_d.png,11400056_f_clgm_d.png,0,
11400057,고급 피혁 흉갑,11400057,63,59,51,20,18,15,11400014_F_ProbationWarrior.gltf,11400014_f_probationwarrior_d.png,11400014_f_probationwarrior_c.png,0,
11400058,포인트 고급 피혁 흉갑,11400058,63,59,51,20,18,15,11400003_F_BronzeWarrior.gltf,11400003_f_bronzewarrior_d.png,11400003_f_bronzewarrior_c.png,0,
11400059,스파이크 고급 피혁 흉갑,11400059,63,59,51,20,18,15,11400004_F_RollingThunderSpike.gltf,11400004_f_rollingthunderspike_d.png,11400004_f_rollingthunderspike_c.png,0,
11400060,투박한 캐리비안 아머,11400060,63,59,51,20,18,15,11400005_F_LittleBone.gltf,11400005_f_littlebone_d.png,11400005_f_littlebone_c.png,0,
11400061,나이트 아머,11400061,63,59,51,20,18,15,11400049_F_CLCrusadesSergeant.gltf,11400049_f_clcrusadessergeant_d.png,11400051_f_clgoldencrusadessergeant_c.png,0,
11400062,슬럼가의 상의,11400062,63,59,51,20,18,15,11400028_F_ProbationThief.gltf,11400028_f_probationthief_d.png,11400028_m_probationthief_c.png,0,
11400063,슬럼 스타일 레더 베스트,11400063,63,59,51,20,18,15,11400013_F_ProbationThief.gltf,11400013_f_probationthief_d.png,11400028_m_probationthief_c.png,0,
11400064,슬럼 스타일 베스트,11400064,63,59,51,20,18,15,11400029_F_BlackEyeGoldline.gltf,11400029_f_blackeyegoldline_d.png,11400029_f_blackeyegoldline_c.png,0,
11400065,암살 특화 상의,11400065,63,59,51,20,18,15,11400030_F_Junior.gltf,11400030_f_junior_d.png,11400030_f_junior_c.png,0,
11400066,밴디트 상의,11400066,63,59,51,20,18,15,11400033_F_CLPirateJacket.gltf,11400033_f_clpiratejacket_d.png,11400033_f_clpiratejacket_c.png,0,
11400067,바다 모험가 상의,11400067,63,59,51,20,18,15,11400033_F_CLPirateJacket.gltf,11400033_f_clpiratejacket_d.png,11400033_f_clpiratejacket_c.png,0,
11400068,바다모험가 가죽 상의,11400068,63,59,51,20,18,15,11400034_F_CLLeatherPirate.gltf,11400034_f_clleatherpirate_d.png,11400034_f_clleatherpirate_c.png,0,
11400069,우드랜드 베스트,11400069,63,59,51,20,18,15,11400011_F_ProbationRanger.gltf,11400011_f_probationranger_d.png,11400011_f_probationranger_c.png,0,
11400070,골든 우드랜드 셔츠,11400070,63,59,51,20,18,15,11400017_F_LeatherFeather.gltf,11400017_f_leatherfeather_d.png,11400017_f_leatherfeather_c.png,0,
11400071,명사수의 상의,11400071,63,59,51,20,18,15,11400018_F_HelenaEagleEye.gltf,11400018_f_helenaeagleeye_d.png,11400018_f_helenaeagleeye_c.png,0,
11400072,기사단 상의,11400072,63,59,51,20,18,15,11400049_F_CLCrusadesSergeant.gltf,11400049_f_clcrusadessergeant_d.png,11400051_f_clgoldencrusadessergeant_c.png,0,
11400073,근위대 갑옷,11400073,63,59,51,20,18,15,11400050_F_CLBlackCrusadesSergeant.gltf,11400050_f_clblackcrusadessergeant_d.png,11400051_f_clgoldencrusadessergeant_c.png,0,
11400074,스켈레톤 아머,11400074,63,59,51,20,18,15,11400074_F_CLSkeletonArmor.gltf,11400074_f_clskeletonarmor_d.png,11400074_f_clskeletonarmor_c.png,0,
11400075,블러디 더스크 아머,11400075,63,59,51,20,18,15,11400075_F_CLBloodyDuskArmor.gltf,11400075_c_clbloodyduskarmor_d.png,11400075_c_clbloodyduskarmor_c.png,0,
11400076,님블 비트 자켓,11400076,63,59,51,20,18,15,11400076_F_CLNimbleBitJacket.gltf,11400076_f_clnimblebitjacket_d.png,11400076_f_clnimblebitjacket_c.png,0,
11400077,팬텀 베스트,11400077,63,59,51,20,18,15,11400077_F_CLPhantomVest.gltf,11400077_f_clphantomvest_d.png,11400077_f_clphantomvest_c.png,0,
11400079,스터드 재킷,11400079,63,59,51,20,18,15,11400079_F_CLStuddedJacket.gltf,11400079_f_clstuddedjacket_d.png,11400079_f_clstuddedjacket_c.png,0,
11400080,디자인 후드티 (남),11400080,63,59,51,20,18,15,11400080_M_UGC03.gltf,11400080_m_ugc03_d.png,11400080_m_ugc03_d.png,0,
11400081,디자인 후드티 (여),11400081,63,59,51,20,18,15,11400081_F_UGC03.gltf,11400081_f_ugc03_d.png,11400081_f_ugc03_d.png,0,
11400082,디자인 져지 (남),11400082,63,59,51,20,18,15,11400082_M_UGC04.gltf,11400082_m_ugc04_d.png,11400082_m_ugc04_d.png,0,
11400083,디자인 져지 (여),11400083,63,59,51,20,18,15,11400083_F_UGC04.gltf,11400083_f_ugc04_d.png,11400083_f_ugc04_d.png,0,
11400084,검은 크란츠 아머,11400084,63,59,51,20,18,15,11400007_F_RollingThunderBlackbone.gltf,11400007_c_rollingthunderblackbone_d.png,11400007_c_rollingthunderblackbone_c.png,0,
11400085,강한 자객 상의,11400085,63,59,51,20,18,15,11400032_F_NinjaUniform.gltf,11400032_f_ninjauniform_d.png,11400032_f_ninjauniform_c.png,0,
11400086,블랙 나이트 아머,11400086,63,59,51,20,18,15,11400050_F_CLBlackCrusadesSergeant.gltf,11400050_f_clblackcrusadessergeant_d.png,11400051_f_clgoldencrusadessergeant_c.png,0,
11400087,어퍼 밴디트 상의,11400087,63,59,51,20,18,15,11400034_F_CLLeatherPirate.gltf,11400034_f_clleatherpirate_d.png,11400034_f_clleatherpirate_c.png,0,
11400088,골든 나이트 아머,11400088,63,59,51,20,18,15,11400051_F_CLGoldenCrusadesSergeant.gltf,11400051_f_clgoldencrusadessergeant_d.png,11400051_f_clgoldencrusadessergeant_c.png,0,
11400089,모스트 밴디트 재킷,11400089,63,59,51,20,18,15,11400035_F_CLCrossPirate.gltf,11400035_f_clcrosspirate_d.png,11400035_f_clcrosspirate_c.png,0,
11400090,체크 데님 셔츠 (남),11400090,63,59,51,20,18,15,11400090_M_CLCheckDenimShirts.gltf,11400090_m_clcheckdenimshirts_d.png,11400090_m_clcheckdenimshirts_d.png,0,
11400091,체크 데님 셔츠 (여),11400091,63,59,51,20,18,15,11400091_F_CLCheckDenimShirts.gltf,11400091_f_clcheckdenimshirts_d.png,11400091_f_clcheckdenimshirts_d.png,0,
11400092,화이트 워싱 셔츠 (남),11400092,63,59,51,20,18,15,11400092_M_CLWhiteWashingShirts.gltf,11400092_m_clwhitewashingshirts_d.png,11400092_m_clwhitewashingshirts_d.png,0,
11400093,화이트 워싱 셔츠 (여),11400093,63,59,51,20,18,15,11400093_F_CLWhiteWashingShirts.gltf,11400093_f_clwhitewashingshirts_d.png,11400093_f_clwhitewashingshirts_d.png,0,
11400094,딥 블루 셔츠 (남),11400094,63,59,51,20,18,15,11400094_M_CLDeepBlueShirts.gltf,11400094_m_cldeepblueshirts_d.png,11400094_m_cldeepblueshirts_d.png,0,
11400095,딥 블루 셔츠 (여),11400095,63,59,51,20,18,15,11400095_F_CLDeepBlueShirts.gltf,11400095_f_cldeepblueshirts_d.png,11400095_f_cldeepblueshirts_d.png,0,
11400096,레인보우 후드 (남),11400096,63,59,51,20,18,15,11400096_M_CLRainBow.gltf,11400096_m_clrainbow_d.png,11400096_m_clrainbow_c.png,0,
11400097,레인보우 후드 (여),11400097,249,137,77,147,60,20,11400097_F_CLRainBow.gltf,11400097_f_clrainbow_d.png,11400097_f_clrainbow_c.png,0,
11400098,깔끔한 짐꾼 상의,11400023,63,59,51,20,18,15,11450022_F_CLRainDropScarp.gltf,11450022_f_clraindropscarp_d.png,11450022_f_clraindropscarp_c.png,0,
11400099,최고급 벨벳 상의,11400099,63,59,51,20,18,15,11400041_F_CLCubicVelvet.gltf,11400041_f_clcubicvelvet_d.png,11400041_f_clcubicvelvet_c.png,0,
11400100,정장 상의 (남),11400100,63,59,51,20,18,15,11400098_M_CLClassicSuit.gltf,11400098_m_clclassicsuit_d.png,11400098_m_clclassicsuit_c.png,0,
11400102,크러스트 상의,11400084,63,59,51,20,18,15,11400007_F_RollingThunderBlackbone.gltf,11400007_c_rollingthunderblackbone_d.png,11400007_c_rollingthunderblackbone_c.png,0,
11400103,디비전 상의,11400061,63,59,51,20,18,15,11400049_F_CLCrusadesSergeant.gltf,11400049_f_clcrusadessergeant_d.png,11400051_f_clgoldencrusadessergeant_c.png,0,
11400104,블랙 크러스트 상의,11400086,63,59,51,20,18,15,11400050_F_CLBlackCrusadesSergeant.gltf,11400050_f_clblackcrusadessergeant_d.png,11400051_f_clgoldencrusadessergeant_c.png,0,
11400105,다이너스 상의,11400088,63,59,51,20,18,15,11400051_F_CLGoldenCrusadesSergeant.gltf,11400051_f_clgoldencrusadessergeant_d.png,11400051_f_clgoldencrusadessergeant_c.png,0,
11400106,브루탈 상의,11400072,63,59,51,20,18,15,11400049_F_CLCrusadesSergeant.gltf,11400049_f_clcrusadessergeant_d.png,11400051_f_clgoldencrusadessergeant_c.png,0,
11400107,블랙 다이너스 상의,11400088,63,59,51,20,18,15,11400051_F_CLGoldenCrusadesSergeant.gltf,11400051_f_clgoldencrusadessergeant_d.png,11400051_f_clgoldencrusadessergeant_c.png,0,
11400108,스키퍼 상의,11400085,63,59,51,20,18,15,11400032_F_NinjaUniform.gltf,11400032_f_ninjauniform_d.png,11400032_f_ninjauniform_c.png,0,
11400109,머깅 상의,11400066,63,59,51,20,18,15,11400033_F_CLPirateJacket.gltf,11400033_f_clpiratejacket_d.png,11400033_f_clpiratejacket_c.png,0,
11400110,트루 스키퍼 상의,11400087,63,59,51,20,18,15,11400034_F_CLLeatherPirate.gltf,11400034_f_clleatherpirate_d.png,11400034_f_clleatherpirate_c.png,0,
11400111,마스트 상의,11400089,63,59,51,20,18,15,11400035_F_CLCrossPirate.gltf,11400035_f_clcrosspirate_d.png,11400035_f_clcrosspirate_c.png,0,
11400112,크루 상의,11400067,63,59,51,20,18,15,11400033_F_CLPirateJacket.gltf,11400033_f_clpiratejacket_d.png,11400033_f_clpiratejacket_c.png,0,
11400113,포어 마스트 상의,11400089,63,59,51,20,18,15,11400035_F_CLCrossPirate.gltf,11400035_f_clcrosspirate_d.png,11400035_f_clcrosspirate_c.png,0,
11400114,스포츠 슬리브리스 (남),11400114,132,130,120,68,68,65,11400114_M_CLSportsSleeveless.gltf,11400114_m_clsportssleeveless_d.png,11400114_m_clsportssleeveless_c.png,0,
11400115,베이직 화이트 셔츠 (남),11400115,119,147,68,32,51,30,11400115_M_CLWhiteShirts.gltf,11400115_m_clwhiteshirts_d.png,11400115_m_clwhiteshirts_c.png,0,
11400116,스카프 무지 티셔츠 (남),11400116,230,230,230,150,150,150,11400116_M_CLScarfTshirts.gltf,11400116_c_clscarftshirts_d.png,11400116_c_clscarftshirts_c.png,0,
11400117,스포츠 슬리브리스 (여),11400117,132,130,120,68,68,65,11400114_F_CLSportsSleeveless.gltf,11400114_f_clsportssleeveless_d.png,11400114_f_clsportssleeveless_c.png,0,
11400118,베이직 화이트 셔츠 (여),11400118,239,112,145,153,66,82,11400115_F_CLWhiteshirts.gltf,11400115_f_clwhiteshirts_d.png,11400115_f_clwhiteshirts_c.png,0,
11400119,스카프 무지 티셔츠 (여),11400119,230,230,230,150,150,150,11400116_F_CLScarfTshirts.gltf,11400116_c_clscarftshirts_d.png,11400116_c_clscarftshirts_c.png,0,
11400120,디자인 박시 티셔츠 (남),11400120,63,59,51,20,18,15,11400120_M_UGC05.gltf,11400120_m_ugc05_d.png,11400120_m_ugc05_d.png,0,
11400122,거대 전사의 상의,11400003,63,59,51,20,18,15,11400014_F_ProbationWarrior.gltf,11400014_f_probationwarrior_d.png,11400014_f_probationwarrior_c.png,0,
11400123,강력한 전사의 상의,11400004,63,59,51,20,18,15,11400003_F_BronzeWarrior.gltf,11400003_f_bronzewarrior_d.png,11400003_f_bronzewarrior_c.png,0,
11400124,거대 도적의 상의,11400009,63,59,51,20,18,15,11400028_F_ProbationThief.gltf,11400028_f_probationthief_d.png,11400028_m_probationthief_c.png,0,
11400125,강력한 도적의 상의,11400010,63,59,51,20,18,15,11400013_F_ProbationThief.gltf,11400013_f_probationthief_d.png,11400028_m_probationthief_c.png,0,
11400126,거대 궁수의 상의,11400018,63,59,51,20,18,15,11400011_F_ProbationRanger.gltf,11400011_f_probationranger_d.png,11400011_f_probationranger_c.png,0,
11400127,강력한 궁수의 상의,11400019,63,59,51,20,18,15,11400017_F_LeatherFeather.gltf,11400017_f_leatherfeather_d.png,11400017_f_leatherfeather_c.png,0,
11400128,베이직 칼라 니트 (남),11400128,194,209,96,64,104,54,11400128_M_CLBasicKnit.gltf,11400128_c_clbasicknit_d.png,11400128_c_clbasicknit_c.png,0,
