#id,name,icon,r1,g1,b1,r2,g2,b2,gltf,ddsd,ddsc,haircutting,
-1,없음,-1,0,0,0,0,0,0,
11300001,초보자 벙거지,11300001,63,59,51,20,18,15,11300001_C_AdventurerCap_C.gltf,11300001_c_adventurercap_d.png,11300001_c_adventurercap_d.png,8,
11300002,캐쥬얼 캡,11300002,63,59,51,20,18,15,11300002_C_StylishCap_C.gltf,11300002_c_stylishcap_d.png,11300002_c_stylishcap_c.png,8,
11300003,가죽 투구,11300003,63,59,51,20,18,15,11300013_C_ProbationWarrior_D.gltf,11300013_c_probationwarrior_d.png,11300013_c_probationwarrior_c.png,13,
11300004,포인트 가죽 투구,11300004,63,59,51,20,18,15,11300004_C_PointBronze_D.gltf,11300004_c_pointbronze_d.png,11300004_c_pointbronze_c.png,13,
11300005,스파이크 가죽 투구,11300005,63,59,51,20,18,15,11300005_C_RollingThunderSpike_D.gltf,11300005_c_rollingthunderspike_d.png,11300005_c_rollingthunderspike_c.png,13,
11300006,투박한 바이킹 투구,11300006,63,59,51,20,18,15,11300006_C_LittleBone_C.gltf,11300006_c_littlebone_d.png,11300006_c_littlebone_c.png,8,
11300007,강한 전사의 투구,11300007,63,59,51,20,18,15,11300007_C_Viking_C.gltf,11300007_c_viking_d.png,11300007_c_viking_c.png,8,
11300008,크란츠 투구,11300008,63,59,51,20,18,15,11300006_C_LittleBone_C.gltf,11300006_c_littlebone_d.png,11300006_c_littlebone_c.png,8,
11300009,좀도둑 두건,11300009,63,59,51,20,18,15,11300041_C_ProbationThief_D.gltf,11300041_c_probationthief_d.png,11300041_c_probationthief_c.png,13,
11300010,가죽 좀도둑 두건,11300010,63,59,51,20,18,15,11300011_C_CrossThief_D.gltf,11300011_c_crossthief_d.png,11300011_c_crossthief_c.png,13,
11300011,세련된 좀도둑 두건,11300011,63,59,51,20,18,15,11300042_C_BlackEyeGoldline_D.gltf,11300042_c_blackeyegoldline_d.png,11300042_c_blackeyegoldline_c.png,13,
11300012,닌자 두건,11300012,63,59,51,20,18,15,11300043_C_NinjaLoose_C.gltf,11300043_c_ninjaloose_d.png,11300043_c_ninjaloose_c.png,8,
11300013,다크윈드 비니,11300013,63,59,51,20,18,15,11300044_C_LeatherLoose_C.gltf,11300044_c_leatherloose_d.png,11300044_c_leatherloose_c.png,8,
11300014,자객 두건,11300014,63,59,51,20,18,15,11300043_C_NinjaLoose_C.gltf,11300043_c_ninjaloose_d.png,11300043_c_ninjaloose_c.png,8,
11300015,해적 두건,11300015,63,59,51,20,18,15,11300046_C_CPPirateBandana_C.gltf,11300046_c_cppiratebandana_d.png,11300046_c_cppiratebandana_c.png,8,
11300016,숙련 자객 두건,11300016,63,59,51,20,18,15,11300044_C_LeatherLoose_C.gltf,11300044_c_leatherloose_d.png,11300044_c_leatherloose_c.png,8,
11300018,초보 마법사 모자,11300018,63,59,51,20,18,15,11300018_C_ProbationMage_C.gltf,11300018_c_probationmage_d.png,11300018_c_probationmage_c.png,8,
11300019,여행자 모자,11300019,63,59,51,20,18,15,11300010_C_ProbationMage_C.gltf,11300010_c_probationmage_d.png,11300010_c_probationmage_c.png,8,
11300020,달빛 여행자 모자,11300020,63,59,51,20,18,15,11300019_C_AnnMoonlight_C.gltf,11300019_c_annmoonlight_d.png,11300019_c_annmoonlight_c.png,8,
11300021,견습 학자 모자,11300021,63,59,51,20,18,15,11300020_C_Golden_C.gltf,11300020_c_golden_d.png,11300020_c_golden_c.png,8,
11300023,매지션 모자,11300023,63,59,51,20,18,15,11300020_C_Golden_C.gltf,11300020_c_golden_d.png,11300020_c_golden_c.png,8,
11300024,마법사 모자,11300024,63,59,51,20,18,15,11300023_C_CPMageHat_C.gltf,11300023_c_cpmagehat_d.png,11300023_c_cpmagehat_c.png,8,
11300025,브론즈 매지션 모자,11300025,63,59,51,20,18,15,11300021_C_Silver_C.gltf,11300021_c_silver_d.png,11300021_c_silver_c.png,8,
11300027,숲지기 모자,11300027,63,59,51,20,18,15,11300009_C_ProbationRanger_C.gltf,11300009_c_probationranger_d.png,11300031_c_leatherfeather_c.png,8,
11300028,금빛 숲지기 모자,11300028,63,59,51,20,18,15,11300031_C_LeatherFeather_C.gltf,11300031_c_leatherfeather_d.png,11300031_c_leatherfeather_c.png,8,
11300029,로빈훗 모자,11300029,63,59,51,20,18,15,11300032_C_HelenaEagleEye_C.gltf,11300032_c_helenaeagleeye_d.png,11300032_c_helenaeagleeye_c.png,8,
11300030,사냥꾼 모자,11300030,63,59,51,20,18,15,11300033_C_Shooting_C.gltf,11300033_c_shooting_d.png,11300033_c_shooting_c.png,8,
11300032,헌팅 모자,11300032,63,59,51,20,18,15,11300033_C_Shooting_C.gltf,11300033_c_shooting_d.png,11300033_c_shooting_c.png,8,
11300033,군악대 모자,11300033,63,59,51,20,18,15,11300036_C_BasicMusket_C.gltf,11300036_c_basicmusket_c_d.png,11300036_c_basicmusket_c_c.png,8,
11300034,미들 헌팅 모자,11300034,63,59,51,20,18,15,11300034_C_Hunting_C.gltf,11300034_c_hunting_d.png,11300033_c_shooting_c.png,8,
