#id,name,icon,r1,g1,b1,r2,g2,b2,gltf,ddsd,ddsc,haircutting,
-1,없음,-1,0,0,0,0,0,0,
11200001,사파이어 이어링,11200001,63,59,51,20,18,15,11200001_C_Sapphire.gltf,11200001_c_sapphire_d.png,11200001_c_sapphire_d.png,Bip01 Spine1,
11200002,작은 별 이어링,11200002,63,59,51,20,18,15,11200002_C_LittleStar.gltf,11200002_c_littlestar_d.png,11200002_c_littlestar_d.png,Bip01 Spine1,
11200003,하트 이어링,11200003,63,59,51,20,18,15,11200003_C_PetitHeart.gltf,11200003_c_petitheart.png,11200003_c_petitheart.png,Bip01 Spine1,
11200011,초급 수비자의 귀고리,11200011,63,59,51,20,18,15,11200001_C_Sapphire.gltf,11200001_c_sapphire_d.png,11200001_c_sapphire_d.png,Bip01 Spine1,
11200013,침투자의 귀고리,11200013,63,59,51,20,18,15,11200001_C_Sapphire.gltf,11200001_c_sapphire_d.png,11200001_c_sapphire_d.png,Bip01 Spine1,
11200014,질주하는 자의 귀고리,11200014,63,59,51,20,18,15,11200002_C_LittleStar.gltf,11200002_c_littlestar_d.png,11200002_c_littlestar_d.png,Bip01 Spine1,
11200018,번개 귀고리,11200018,63,59,51,20,18,15,11200009_C_ERThunder.gltf,11200009_c_erthunder_d.png,11200009_c_erthunder_c.png,Bip01 Spine1,
11200019,캣츠 아이,11200019,63,59,51,20,18,15,11200010_C_ERCatsEye.gltf,11200010_c_ercatseye_d.png,11200010_c_ercatseye_d.png,Bip01 Spine1,
11200020,골드 드롭 이어링,11200020,63,59,51,20,18,15,11200011_C_ERGoldDrop.gltf,11200011_c_ergolddrop_d.png,11200011_c_ergolddrop_d.png,Bip01 Spine1,
11200021,홀리 크로스 이어링,11200021,63,59,51,20,18,15,11200013_C_ERHolyCross.gltf,11200013_c_erholycross_d.png,11200013_c_erholycross_c.png,Bip01 Spine1,
11200022,블루 문,11200022,63,59,51,20,18,15,11200014_C_ERBlueMoon.gltf,11200014_c_erbluemoon_d.png,11200014_c_erbluemoon_d.png,Bip01 Spine1,
11200023,장미꽃 귀고리,11200023,63,59,51,20,18,15,11200016_C_ERRose.gltf,11200016_c_errose_c.png,11200016_c_errose_c.png,Bip01 Spine1,
11200024,실버 링 귀고리,11200024,63,59,51,20,18,15,11200017_C_ERSilverRingEaring.gltf,11200017_c_ersilverringearing_d.png,11200017_c_ersilverringearing_d.png,Bip01 Spine1,
11200025,하프 이어링,11200025,63,59,51,20,18,15,11200019_C_ERHalf.gltf,11200019_c_erhalf_d.png,11200019_c_erhalf_d.png,Bip01 Spine1,
11200026,멈추지 않는 자의 귀고리,11200026,63,59,51,20,18,15,11200020_C_ERAmethystCrossSilver.gltf,11200020_c_eramethystcrosssilver_d.png,11200020_c_eramethystcrossgold_c.png,Bip01 Spine1,
11200027,완벽한 수호자의 귀고리,11200027,63,59,51,20,18,15,11200020_C_ERAmethystCrossGold.gltf,11200020_c_eramethystcrossgold_d.png,11200020_c_eramethystcrossgold_c.png,Bip01 Spine1,
11200029,마크52 오메가의 귀고리,11200027,63,59,51,20,18,15,11200020_C_ERAmethystCrossGold.gltf,11200020_c_eramethystcrossgold_d.png,11200020_c_eramethystcrossgold_c.png,Bip01 Spine1,
11200030,어두운 그림자의 귀고리,11200030,63,59,51,20,18,15,11200010_C_ERCatsEye.gltf,11200010_c_ercatseye_d.png,11200010_c_ercatseye_d.png,Bip01 Spine1,
11200031,앱솔루트 이어링,11200031,63,59,51,20,18,15,11200011_C_ERGoldDrop.gltf,11200011_c_ergolddrop_d.png,11200011_c_ergolddrop_d.png,Bip01 Spine1,
11200032,가벼운 사파이어 이어링,11200001,63,59,51,20,18,15,11200001_C_Sapphire.gltf,11200001_c_sapphire_d.png,11200001_c_sapphire_d.png,Bip01 Spine1,
11200033,가벼운 작은 별 이어링,11200002,63,59,51,20,18,15,11200002_C_LittleStar.gltf,11200002_c_littlestar_d.png,11200002_c_littlestar_d.png,Bip01 Spine1,
11200034,야옹이의 귀고리,11200003,63,59,51,20,18,15,11200003_C_PetitHeart.gltf,11200003_c_petitheart.png,11200003_c_petitheart.png,Bip01 Spine1,
11200035,아르마노의 골드링,11200002,63,59,51,20,18,15,11200002_C_LittleStar.gltf,11200002_c_littlestar_d.png,11200002_c_littlestar_d.png,Bip01 Spine1,
11200036,아르웬의 유리 귀고리,11200001,63,59,51,20,18,15,11200001_C_Sapphire.gltf,11200001_c_sapphire_d.png,11200001_c_sapphire_d.png,Bip01 Spine1,
11200040,로얄 더 이어링,11200018,63,59,51,20,18,15,11200009_C_ERThunder.gltf,11200009_c_erthunder_d.png,11200009_c_erthunder_c.png,Bip01 Spine1,
11200041,레르노스의 귀고리,11200021,63,59,51,20,18,15,11200013_C_ERHolyCross.gltf,11200013_c_erholycross_d.png,11200013_c_erholycross_c.png,Bip01 Spine1,
11200042,파풀라투스의 귀고리,11200042,63,59,51,20,18,15,11200042_C_EAPapulatusEarring.gltf,11200042_c_eapapulatusearring_d.png,11200042_c_eapapulatusearring_d.png,Bip01 Spine1,
11200043,해모칸의 귀고리,11200043,63,59,51,20,18,15,11200043_C_EAHammoKhanEaring.gltf,11200043_c_eahammokhanearing_d.png,11200043_c_eahammokhanearing_d.png,Bip01 Spine1,
11200044,흉포한 귀고리,11200024,63,59,51,20,18,15,11200017_C_ERSilverRingEaring.gltf,11200017_c_ersilverringearing_d.png,11200017_c_ersilverringearing_d.png,Bip01 Spine1,
11200047,귀여운 더키볼 귀고리,11200047,63,59,51,20,18,15,11200047_C_EADuckyBallEvent01.gltf,11200047_c_eaduckyballevent01_d.png,11200047_c_eaduckyballevent01_d.png,Bip01 Spine1,
11200048,시크한 더키볼 귀고리,11200048,63,59,51,20,18,15,11200048_C_EADuckyBallEvent02.gltf,11200048_c_eaduckyballevent02_d.png,11200048_c_eaduckyballevent02_d.png,Bip01 Spine1,
11200049,창피한 더키볼 귀고리,11200049,63,59,51,20,18,15,11200049_C_EADuckyBallEvent03.gltf,11200049_c_eaduckyballevent03_d.png,11200049_c_eaduckyballevent03_d.png,Bip01 Spine1,
11200050,고요한 귀고리,11200020,63,59,51,20,18,15,11200011_C_ERGoldDrop.gltf,11200011_c_ergolddrop_d.png,11200011_c_ergolddrop_d.png,Bip01 Spine1,
11200051,적막한 귀고리,11200021,63,59,51,20,18,15,11200013_C_ERHolyCross.gltf,11200013_c_erholycross_d.png,11200013_c_erholycross_c.png,Bip01 Spine1,
11200052,누타만의 귀고리,11200052,63,59,51,20,18,15,11200052_C_EANuEaring.gltf,11200052_c_eanuearing_d.png,11200052_c_eanuearing_d.png,Bip01 Spine1,
11200053,아련한 그리움의 귀고리,11200001,63,59,51,20,18,15,11200001_C_Sapphire.gltf,11200001_c_sapphire_d.png,11200001_c_sapphire_d.png,Bip01 Spine1,
11200054,이끌림의 고급 귀고리,11200002,63,59,51,20,18,15,11200002_C_LittleStar.gltf,11200002_c_littlestar_d.png,11200002_c_littlestar_d.png,Bip01 Spine1,
11200057,골드 슈아브리체 귀고리,11200057,63,59,51,20,18,15,11200057_F_AngelWingEarCuff.gltf,11200057_c_angelwingearcuff_d.png,11200057_c_angelwingearcuff_c.png,Bip01 Spine1,
11200058,해피 슬라임 이어링,11200058,63,59,51,20,18,15,11200058_F_SlimeEarring.gltf,11200058_c_slimeearring_d.png,11200058_c_slimeearring_c.png,Bip01 Spine1,
11200059,(이벤트) 고급 의식 귀고리,11200002,63,59,51,20,18,15,11200002_C_LittleStar.gltf,11200002_c_littlestar_d.png,11200002_c_littlestar_d.png,Bip01 Spine1,
11200060,침묵하는 귀고리,11200022,63,59,51,20,18,15,11200014_C_ERBlueMoon.gltf,11200014_c_erbluemoon_d.png,11200014_c_erbluemoon_d.png,Bip01 Spine1,
11200061,검은 불꽃의 귀고리,11200026,63,59,51,20,18,15,11200020_C_ERAmethystCrossSilver.gltf,11200020_c_eramethystcrosssilver_d.png,11200020_c_eramethystcrossgold_c.png,Bip01 Spine1,
11200062,희미하게 흉포한 귀고리,11200024,63,59,51,20,18,15,11200017_C_ERSilverRingEaring.gltf,11200017_c_ersilverringearing_d.png,11200017_c_ersilverringearing_d.png,Bip01 Spine1,
11200063,흉포한 귀고리,11200024,63,59,51,20,18,15,11200017_C_ERSilverRingEaring.gltf,11200017_c_ersilverringearing_d.png,11200017_c_ersilverringearing_d.png,Bip01 Spine1,
11200064,마드라칸 군주의 귀고리,11200064,63,59,51,20,18,15,11200064_F_EADarkSteel.gltf,11200064_m_eadarksteel_d.png,11200064_m_eadarksteel_c.png,Bip01 Spine1,
11200065,검증하는 귀고리,11200022,63,59,51,20,18,15,11200014_C_ERBlueMoon.gltf,11200014_c_erbluemoon_d.png,11200014_c_erbluemoon_d.png,Bip01 Spine1,
11200066,품위의 귀고리,11200021,63,59,51,20,18,15,11200013_C_ERHolyCross.gltf,11200013_c_erholycross_d.png,11200013_c_erholycross_c.png,Bip01 Spine1,
11200067,존엄의 귀고리,11200022,63,59,51,20,18,15,11200014_C_ERBlueMoon.gltf,11200014_c_erbluemoon_d.png,11200014_c_erbluemoon_d.png,Bip01 Spine1,
11200068,아련한 그리움의 고급 귀고리,11200001,63,59,51,20,18,15,11200001_C_Sapphire.gltf,11200001_c_sapphire_d.png,11200001_c_sapphire_d.png,Bip01 Spine1,
11200069,케이의 귀고리,11200024,63,59,51,20,18,15,11200017_C_ERSilverRingEaring.gltf,11200017_c_ersilverringearing_d.png,11200017_c_ersilverringearing_d.png,Bip01 Spine1,
11200070,탐욕스런 귀고리,11200024,63,59,51,20,18,15,11200017_C_ERSilverRingEaring.gltf,11200017_c_ersilverringearing_d.png,11200017_c_ersilverringearing_d.png,Bip01 Spine1,
11200071,희미하게 탐욕스런 귀고리,11200024,63,59,51,20,18,15,11200017_C_ERSilverRingEaring.gltf,11200017_c_ersilverringearing_d.png,11200017_c_ersilverringearing_d.png,Bip01 Spine1,
11200072,플루토 이어링,11200072,63,59,51,20,18,15,11200072_F_EALegendary02.gltf,11200072_c_ealegendary02_d.png,11200072_c_ealegendary02_c.png,Bip01 Spine1,
11200073,마르스 이어링,11200073,63,59,51,20,18,15,11200073_F_EALegendary01.gltf,11200073_c_ealegendary01_d.png,11200073_c_ealegendary01_c.png,Bip01 Spine1,
11200074,(길라잡이) 사파이어 이어링,11200001,63,59,51,20,18,15,11200001_C_Sapphire.gltf,11200001_c_sapphire_d.png,11200001_c_sapphire_d.png,Bip01 Spine1,
11200075,(길라잡이) 작은 별 이어링,11200002,63,59,51,20,18,15,11200002_C_LittleStar.gltf,11200002_c_littlestar_d.png,11200002_c_littlestar_d.png,Bip01 Spine1,
11200076,(길라잡이) 하트 이어링,11200003,63,59,51,20,18,15,11200003_C_PetitHeart.gltf,11200003_c_petitheart.png,11200003_c_petitheart.png,Bip01 Spine1,
11200079,(길라잡이) 번개 귀고리,11200018,63,59,51,20,18,15,11200009_C_ERThunder.gltf,11200009_c_erthunder_d.png,11200009_c_erthunder_c.png,Bip01 Spine1,
11200080,(길라잡이) 캣츠 아이,11200019,63,59,51,20,18,15,11200010_C_ERCatsEye.gltf,11200010_c_ercatseye_d.png,11200010_c_ercatseye_d.png,Bip01 Spine1,
11200081,(길라잡이) 골드 드롭 이어링,11200020,63,59,51,20,18,15,11200011_C_ERGoldDrop.gltf,11200011_c_ergolddrop_d.png,11200011_c_ergolddrop_d.png,Bip01 Spine1,
11200082,플루토 이어링,11200072,63,59,51,20,18,15,11200072_F_EALegendary02.gltf,11200072_c_ealegendary02_d.png,11200072_c_ealegendary02_c.png,Bip01 Spine1,
11200083,마르스 이어링,11200073,63,59,51,20,18,15,11200073_F_EALegendary01.gltf,11200073_c_ealegendary01_d.png,11200073_c_ealegendary01_c.png,Bip01 Spine1,
11200084,눈꽃뭉치 귀고리,11200084,230,230,230,150,150,150,11200084_F_EAEskimoWear.gltf,11200084_c_eaeskimowear_d.png,11200084_c_eaeskimowear_c.png,Bip01 Spine1,
11200087,페리오닉 깃털 귀고리,11200087,170,47,47,96,19,19,11200087_F_EATraditionalNative01.gltf,11200087_c_eatraditionalnative01_d.png,11200087_c_eatraditionalnative01_c.png,Bip01 Spine1,
11200089,블랙퓨리티 이어링,11200085,63,59,51,20,18,15,11200085_F_EADarkTutor.gltf,11200085_c_eadarktutor_d.png,11200085_c_eadarktutor_c.png,Bip01 Spine1,
11200091,떠돌이 모험가의 유산 : 골동품 귀고리,11200031,63,59,51,20,18,15,11200011_C_ERGoldDrop.gltf,11200011_c_ergolddrop_d.png,11200011_c_ergolddrop_d.png,Bip01 Spine1,
11200092,센츄리온 레드 티어,11200092,63,59,51,20,18,15,11200092_F_EALegendary02.gltf,11200092_c_ealegendary02_d.png,11200092_c_ealegendary02_c.png,Bip01 Spine1,
11200093,마드라칸 군주의 귀고리,11200064,63,59,51,20,18,15,11200064_F_EADarkSteel.gltf,11200064_m_eadarksteel_d.png,11200064_m_eadarksteel_c.png,Bip01 Spine1,
11200094,타이렌 렌샤 귀고리,11200099,63,59,51,20,18,15,11200099_F_EAGiganTikaA01.gltf,11200099_c_eagigantikaa01_d.png,11200099_c_eagigantikaa01_c.png,Bip01 Spine1,
11200095,게오르크 카이 귀고리,11200100,63,59,51,20,18,15,11200100_F_EAKritias01.gltf,11200100_c_eakritias01_d.png,11200100_c_eakritias01_c.png,Bip01 Spine1,
11200096,타이렌 로열 귀고리,11200088,63,59,51,20,18,15,11200088_F_EALappenshad.gltf,11200088_c_ealappenshad_d.png,11200088_c_ealappenshad_c.png,Bip01 Spine1,
11200097,루미나리에 귀고리 (남),11200097,76,105,181,23,40,79,11200097_M_EALuminous.gltf,11200097_c_ealuminous_d.png,11200097_c_ealuminous_c.png,Bip01 Spine1,
11200098,루미나리에 귀고리 (여),11200098,76,105,181,23,40,79,11200098_F_EALuminous.gltf,11200097_c_ealuminous_d.png,11200097_c_ealuminous_c.png,Bip01 Spine1,
11200101,강화된 품위의 귀고리,11200021,63,59,51,20,18,15,11200013_C_ERHolyCross.gltf,11200013_c_erholycross_d.png,11200013_c_erholycross_c.png,Bip01 Spine1,
11200102,챠밍 스타 이어링,11200102,132,130,120,68,68,65,11200102_F_EASchoolLook01.gltf,11200102_c_easchoollook01_d.png,11200102_c_easchoollook01_c.png,Bip01 Spine1,
11200103,러블리 퀸크빈 귀고리,11200103,63,59,51,20,18,15,11200103_F_EAQueencbean.gltf,11200103_eaqueencbean_d.png,11200103_eaqueencbean_d.png,Bip01 Spine1,
11200104,(PC방) 떠돌이 모험가의 유산 : 골동품 귀고리,11200031,63,59,51,20,18,15,11200011_C_ERGoldDrop.gltf,11200011_c_ergolddrop_d.png,11200011_c_ergolddrop_d.png,Bip01 Spine1,
11200105,파이어 프리즘 귀고리,11200105,63,59,51,20,18,15,11200105_F_EAFirePrism.gltf,11200105_c_eafireprism_d.png,11200105_c_eafireprism_c.png,Bip01 Spine1,
11200106,낡은 투기장의 귀고리,11200021,63,59,51,20,18,15,11200013_C_ERHolyCross.gltf,11200013_c_erholycross_d.png,11200013_c_erholycross_c.png,Bip01 Spine1,
11200107,블루 스톤 귀고리,11200001,63,59,51,20,18,15,11200001_C_Sapphire.gltf,11200001_c_sapphire_d.png,11200001_c_sapphire_d.png,Bip01 Spine1,
11200108,크리스탈 샤인드 귀고리,11200053,63,59,51,20,18,15,11200053_F_EACrystalShine.gltf,11200053_c_eacrystalshine_d.png,11200053_c_eacrystalshine_c.png,Bip01 Spine1,
