#id,name,icon,r1,g1,b1,r2,g2,b2,gltf,ddsd,ddsc,haircutting,
-1,없음,-1,0,0,0,0,0,0,
11120002,(PC방) 세련된 호피무늬 안경,11150002,158,83,63,68,31,19,01100002_C_SexyLeopard.gltf,01100002_c_sexyleopard_d.png,01100002_c_sexyleopard_c.png,0,
11120004,컬러 선글라스(남),11150004,63,59,51,20,18,15,01100004_C_ColorRayBanSG.gltf,01100004_c_colorraybansg_d.png,01100004_c_colorraybansg_c.png,0,
11120005,컬러 선글라스(여),11150004,63,59,51,20,18,15,01100004_C_ColorRayBanSG.gltf,01100004_c_colorraybansg_d.png,01100004_c_colorraybansg_c.png,0,
11120006,경호원 선글라스 (남),11150003,63,59,51,20,18,15,01100003_C_SquareHornSG.gltf,01100003_c_squarehornsg_d.png,01100003_c_squarehornsg_d.png,0,
11120007,경호원 선글라스 (여),11150003,63,59,51,20,18,15,01100003_C_SquareHornSG.gltf,01100003_c_squarehornsg_d.png,01100003_c_squarehornsg_d.png,0,
11120008,경호원 선글라스 (남),11150003,63,59,51,20,18,15,01100003_C_SquareHornSG.gltf,01100003_c_squarehornsg_d.png,01100003_c_squarehornsg_d.png,0,
11120009,반무테 안경 (남),11150018,194,209,96,64,104,54,11150018_C_EYHalfGlasses.gltf,11150018_c_eyhalfglasses_d.png,11150018_c_eyhalfglasses_c.png,0,
11120010,반무테 안경 (여),11150018,194,209,96,64,104,54,11150018_C_EYHalfGlasses.gltf,11150018_c_eyhalfglasses_d.png,11150018_c_eyhalfglasses_c.png,0,
11120013,경호원 선글라스 (여),11150003,63,59,51,20,18,15,01100003_C_SquareHornSG.gltf,01100003_c_squarehornsg_d.png,01100003_c_squarehornsg_d.png,0,
11120014,(PC방) 검은 위생 안대,11150014,63,59,51,20,18,15,11150014_F_EYBlackEyePatch.gltf,11150014_c_eyblackeyepatch_d.png,11150014_c_eyblackeyepatch_d.png,0,
11120017,스트라이프 바니 선글라스 (남),11150011,132,130,120,68,68,65,11150011_C_EYStripeBunny.gltf,11150011_c_eystripebunny_d.png,11150011_c_eystripebunny_c.png,0,
11120018,스트라이프 바니 선글라스 (여),11150011,132,130,120,68,68,65,11150011_C_EYStripeBunny.gltf,11150011_c_eystripebunny_d.png,11150011_c_eystripebunny_c.png,0,
11120019,스트라이프 바니 선글라스 (남),11150011,132,130,120,68,68,65,11150011_C_EYStripeBunny.gltf,11150011_c_eystripebunny_d.png,11150011_c_eystripebunny_c.png,0,
11120020,스트라이프 바니 선글라스 (여),11150011,132,130,120,68,68,65,11150011_C_EYStripeBunny.gltf,11150011_c_eystripebunny_d.png,11150011_c_eystripebunny_c.png,0,
11120021,(PC방) 해골 안대,11150021,63,59,51,20,18,15,11150021_F_SkeletonEyePatch.gltf,11150021_c_skeletoneyepatch_d.png,11150021_c_skeletoneyepatch_c.png,0,
11120024,(PC방) 오토매틱 고글,11150024,63,59,51,20,18,15,11150024_C_AutomaticGoggles.gltf,11150024_c_automaticgoggles_d.png,11150024_c_automaticgoggles_d.png,0,
11120025,스칼렛 하트 아이 패치 (남),11150032,170,47,47,96,19,19,11150032_M_EYValentine01.gltf,11150032_c_eyvalentine01_d.png,11150032_c_eyvalentine01_c.png,0,
11120026,스칼렛 하트 아이 패치 (여),11150032,170,47,47,96,19,19,11150033_F_EYValentine01.gltf,11150032_c_eyvalentine01_d.png,11150032_c_eyvalentine01_c.png,0,
11120038,(PC방) 깔끔한 뿔테 안경,11150001,63,59,51,20,18,15,01100001_C_BasicRound.gltf,01100001_c_basicround_d.png,01100001_c_basicround_c.png,0,
11120045,샤인 스타 데코 (남),11150036,126,204,247,72,94,168,11150036_M_EYIdolBand.gltf,11150036_c_eyidolband_d.png,11150036_c_eyidolband_c.png,0,
11120046,샤인 스타 데코 (여),11150037,126,204,247,72,94,168,11150037_F_EYIdolBand.gltf,11150036_c_eyidolband_d.png,11150036_c_eyidolband_c.png,0,
11120049,고양이 젤리 안대 (남),11150031,122,92,77,53,39,29,11150031_F_PinkJellyEyePatch.gltf,11150031_c_pinkjellyeyepatch_d.png,11150031_c_pinkjellyeyepatch_c.png,0,
11120050,샤인 스타 데코 (남),11150036,126,204,247,72,94,168,11150036_M_EYIdolBand.gltf,11150036_c_eyidolband_d.png,11150036_c_eyidolband_c.png,0,
11120053,호박 안대 (남),11150051,249,137,77,147,60,20,11150051_F_PumpkinEyePatch.gltf,11150051_c_pumpkineyepatch_d.png,11150051_c_pumpkineyepatch_c.png,0,
11120054,고양이 젤리 안대 (여),11150031,122,92,77,53,39,29,11150031_F_PinkJellyEyePatch.gltf,11150031_c_pinkjellyeyepatch_d.png,11150031_c_pinkjellyeyepatch_c.png,0,
11120057,호박 안대 (여),11150051,249,137,77,147,60,20,11150051_F_PumpkinEyePatch.gltf,11150051_c_pumpkineyepatch_d.png,11150051_c_pumpkineyepatch_c.png,0,
11120058,호박 안대 (남),11150051,249,137,77,147,60,20,11150051_F_PumpkinEyePatch.gltf,11150051_c_pumpkineyepatch_d.png,11150051_c_pumpkineyepatch_c.png,0,
11120061,호박 안대 (여),11150051,249,137,77,147,60,20,11150051_F_PumpkinEyePatch.gltf,11150051_c_pumpkineyepatch_d.png,11150051_c_pumpkineyepatch_c.png,0,
11120062,샤인 스타 데코 (여),11150037,126,204,247,72,94,168,11150037_F_EYIdolBand.gltf,11150036_c_eyidolband_d.png,11150036_c_eyidolband_c.png,0,
11120099,오버 윈터 체인 라운드 안경 (남),11150057,132,130,120,68,68,65,11150057_M_EYValentine03.gltf,11150057_m_eyvalentine03_d.png,11150057_m_eyvalentine03_c.png,0,
11120100,오버 윈터 체인 라운드 안경 (여),11150058,132,130,120,68,68,65,11150058_F_EYValentine03.gltf,11150057_m_eyvalentine03_d.png,11150057_m_eyvalentine03_c.png,0,
11120111,빅프레임 뿔테 안경 (남),11150027,63,59,51,20,18,15,11150027_C_BigFrameGlasses.gltf,11150027_c_bigframeglasses_d.png,11150027_c_bigframeglasses_c.png,0,
11120112,빅프레임 뿔테 안경 (여),11150027,63,59,51,20,18,15,11150027_C_BigFrameGlasses.gltf,11150027_c_bigframeglasses_d.png,11150027_c_bigframeglasses_c.png,0,
11120153,실버 크로스 안경 (남),11150077,170,47,47,96,19,19,11150077_F_SilverCrossGlasses.gltf,11150077_c_silvercrossglasses_d.png,11150077_c_silvercrossglasses_c.png,0,
11120154,실버 크로스 안경 (여),11150077,170,47,47,96,19,19,11150077_F_SilverCrossGlasses.gltf,11150077_c_silvercrossglasses_d.png,11150077_c_silvercrossglasses_c.png,0,
