#id,name,icon,r1,g1,b1,r2,g2,b2,gltf,ddsd,ddsc,haircutting,
-1,없음,-1,0,0,0,0,0,0,
11020005,테크웨어 스카우트 마스크 (남),11050061,170,47,47,96,19,19,11050061_M_FHTechWear.gltf,11050061_c_fhtechwear_d.png,11050061_c_fhtechwear_c.png,0,
11020006,테크웨어 스카우트 마스크 (여),11050062,170,47,47,96,19,19,11050062_F_FHTechWear.gltf,11050061_c_fhtechwear_d.png,11050061_c_fhtechwear_c.png,0,
11020039,레드 후드 초코칩 쿠키 (남),11020039,214,147,100,186,113,50,11120039_M_FHFairyTale01.gltf,11120039_c_fhfairytale01_d.png,11120039_c_fhfairytale01_c.png,0,
11020040,레드 후드 초코칩 쿠키 (여),11020040,214,147,100,186,113,50,11120040_F_FHFairyTale01.gltf,11120039_c_fhfairytale01_d.png,11120039_c_fhfairytale01_c.png,0,
11020041,레드 후드 초코칩 쿠키 (남),11020039,214,147,100,186,113,50,11120039_M_FHFairyTale01.gltf,11120039_c_fhfairytale01_d.png,11120039_c_fhfairytale01_c.png,0,
11020042,레드 후드 초코칩 쿠키 (여),11020040,214,147,100,186,113,50,11120040_F_FHFairyTale01.gltf,11120039_c_fhfairytale01_d.png,11120039_c_fhfairytale01_c.png,0,
11020111,전문가용 연필 (남),11050035,170,47,47,96,19,19,11050035_C_Pencil.gltf,11050035_c_pencil_d.png,11050035_c_pencil_c.png,0,
11020112,전문가용 연필 (여),11050035,170,47,47,96,19,19,11050035_C_Pencil.gltf,11050035_c_pencil_d.png,11050035_c_pencil_c.png,0,
11020193,스위트 초콜릿 (남),11050051,170,47,47,96,19,19,11050051_F_Chocolate01.gltf,11050051_c_chocolate01_d.png,11050051_c_chocolate01_c.png,0,
11020194,스위트 초콜릿 (여),11050051,170,47,47,96,19,19,11050051_F_Chocolate01.gltf,11050051_c_chocolate01_d.png,11050051_c_chocolate01_c.png,0,
11020197,달콤한 막대사탕 (남),11050001,255,168,203,205,86,106,01000001_C_Lolipop.gltf,01000001_c_lolipop_c.png,01000001_c_lolipop_c.png,0,
11020198,달콤한 막대사탕 (여),11050001,255,168,203,205,86,106,01000001_C_Lolipop.gltf,01000001_c_lolipop_c.png,01000001_c_lolipop_c.png,0,
11020201,정열의 장미 (남),11050004,63,59,51,20,18,15,01000004_C_FervorRose.gltf,01000004_c_fervorrose_d.png,01000004_c_fervorrose_d.png,0,
11020202,정열의 장미 (여),11050004,63,59,51,20,18,15,01000004_C_FervorRose.gltf,01000004_c_fervorrose_d.png,01000004_c_fervorrose_d.png,0,
11020231,고무 쪽쪽이 (남),11050060,126,204,247,72,94,168,11050060_F_Dummy01.gltf,11050060_c_dummy01_d.png,11050060_c_dummy01_c.png,0,
11020232,고무 쪽쪽이 (여),11050060,126,204,247,72,94,168,11050060_F_Dummy01.gltf,11050060_c_dummy01_d.png,11050060_c_dummy01_c.png,0,
11020237,당근코 (남),11050044,63,59,51,20,18,15,11050044_C_Carrot.gltf,11050044_c_carrot_d.png,11050044_c_carrot_d.png,0,
11020238,당근코 (여),11050044,63,59,51,20,18,15,11050044_C_Carrot.gltf,11050044_c_carrot_d.png,11050044_c_carrot_d.png,0,
11020241,뿜뿜 코끼리 마스크 (남),11020241,147,226,242,89,153,165,11050052_M_ElephantNose.gltf,11050052_c_elephantnose_d.png,11050052_c_elephantnose_c.png,0,
11020242,뿜뿜 코끼리 마스크 (여),11020241,147,226,242,89,153,165,11050052_F_ElephantNose.gltf,11050052_c_elephantnose_d.png,11050052_c_elephantnose_c.png,0,
11020297,방독면 (남),11050022,63,59,51,20,18,15,11050022_F_GasMask.gltf,11050022_c_gasmask_d.png,11050022_c_gasmask_d.png,0,
11020298,방독면 (여),11050022,63,59,51,20,18,15,11050022_F_GasMask.gltf,11050022_c_gasmask_d.png,11050022_c_gasmask_d.png,0,
11020309,따끈한 군고구마 (남),11020309,63,59,51,20,18,15,11020309_M_FHOrdinary03.gltf,11020309_c_fhordinary03_d.png,11020309_c_fhordinary03_d.png,0,
