#id,name,icon,r1,g1,b1,r2,g2,b2,
-1,없음,-1,0,0,0,0,0,0,
10300001,씩씩한 얼굴,00300001,0,0,0,0,0,0,
10300002,똘똘한 얼굴,00300002,0,0,0,0,0,0,
10300003,깜찍한 얼굴,00300003,0,0,0,0,0,0,
10300004,순진한 얼굴,00300004,0,0,0,0,0,0,
10300005,까칠한 얼굴,00300005,0,0,0,0,0,0,
10300006,섹시한 얼굴,00300006,0,0,0,0,0,0,
10300007,도도한 얼굴,00300007,0,0,0,0,0,0,
10300008,매력적인 얼굴,00300008,0,0,0,0,0,0,
10300009,평온한 얼굴,00300009,0,0,0,0,0,0,
10300010,새침한 얼굴,00300010,0,0,0,0,0,0,
10300011,발랄한 얼굴,00300011,0,0,0,0,0,0,
10300012,소심한 얼굴,00300012,0,0,0,0,0,0,
10300013,지루한 얼굴,00300013,0,0,0,0,0,0,
10300014,용맹한 얼굴,00300014,0,0,0,0,0,0,
10300015,우울한 얼굴,00300015,0,0,0,0,0,0,
10300016,거만한 얼굴,00300016,0,0,0,0,0,0,
10300017,몽롱한 얼굴,00300017,0,0,0,0,0,0,
10300018,기묘한 얼굴,00300018,0,0,0,0,0,0,
10300019,음흉한 얼굴,00300019,0,0,0,0,0,0,
10300020,장난스런 얼굴,00300020,0,0,0,0,0,0,
10300021,새초롬한 얼굴,00300021,0,0,0,0,0,0,
10300022,피곤한 얼굴,00300022,0,0,0,0,0,0,
10300023,오드아이 얼굴,00300023,0,0,0,0,0,0,
10300024,오드아이 얼굴,00300024,0,0,0,0,0,0,
10300025,스모키 펑크 얼굴,00300025,0,0,0,0,0,0,
10300026,스모키 펑크 얼굴,00300026,0,0,0,0,0,0,
10300027,짓궂은 얼굴,00300027,0,0,0,0,0,0,
10300028,강렬한 얼굴,00300028,0,0,0,0,0,0,
10300029,샤프한 얼굴,00300029,0,0,0,0,0,0,
10300030,안드로이드 얼굴,00300030,0,0,0,0,0,0,
10300031,반짝별빛 얼굴,00300031,0,0,0,0,0,0,
10300032,반짝별빛 얼굴,00300032,0,0,0,0,0,0,
10300033,심오한 얼굴,00300033,0,0,0,0,0,0,
10300034,심오한 얼굴,00300034,0,0,0,0,0,0,
10300035,순박한 얼굴,00300035,0,0,0,0,0,0,
10300036,순박한 얼굴,00300036,0,0,0,0,0,0,
10300037,뱀파이어 얼굴,00300037,0,0,0,0,0,0,
10300038,뱀파이어 얼굴,00300038,0,0,0,0,0,0,
10300039,개구쟁이 얼굴,10300039,0,0,0,0,0,0,
10300040,개구쟁이 얼굴,10300040,0,0,0,0,0,0,
10300043,고결한 얼굴,10300043,0,0,0,0,0,0,
10300044,고결한 얼굴,10300044,0,0,0,0,0,0,
10300045,깜찍발랄 얼굴,10300045,0,0,0,0,0,0,
10300046,깜찍발랄 얼굴,10300046,0,0,0,0,0,0,
10300047,고스 펑크 얼굴,10300047,0,0,0,0,0,0,
10300048,고스 펑크 얼굴,10300048,0,0,0,0,0,0,
10300050,이글이글 얼굴,10300050,0,0,0,0,0,0,
10300051,그윽한 얼굴,10300051,0,0,0,0,0,0,
10300052,그윽한 얼굴,10300052,0,0,0,0,0,0,
10300053,당당한 얼굴,10300053,0,0,0,0,0,0,
10300054,냉소적인 얼굴,10300054,0,0,0,0,0,0,
10300055,러블리 하트 얼굴,10300055,0,0,0,0,0,0,
10300056,내성적인 얼굴,10300056,0,0,0,0,0,0,
10300057,심심한 얼굴,10300057,0,0,0,0,0,0,
10300058,심심한 얼굴,10300058,0,0,0,0,0,0,
10300059,GM 워릭 얼굴,10300057,0,0,0,0,0,0,
10300060,GM 잭키 얼굴,10300057,0,0,0,0,0,0,
10300061,GM 로라 얼굴,10300058,0,0,0,0,0,0,
10300062,GM 춘배 얼굴,10300057,0,0,0,0,0,0,
10300063,사려깊은 얼굴,10300063,0,0,0,0,0,0,
10300064,사려깊은 얼굴,10300064,0,0,0,0,0,0,
10300069,광기어린 얼굴,10300069,0,0,0,0,0,0,
10300070,광기어린 얼굴,10300070,0,0,0,0,0,0,
10300071,나잘난 얼굴,10300071,0,0,0,0,0,0,
10300072,나잘난 얼굴,10300072,0,0,0,0,0,0,
10300073,음산한 얼굴,10300073,0,0,0,0,0,0,
10300074,음산한 얼굴,10300074,0,0,0,0,0,0,
10300075,시크한 얼굴,10300075,0,0,0,0,0,0,
10300076,시크한 얼굴,10300076,0,0,0,0,0,0,
10300077,표독스런 얼굴,10300077,0,0,0,0,0,0,
10300078,표독스런 얼굴,10300078,0,0,0,0,0,0,
10300079,호수 눈망울 얼굴,10300079,0,0,0,0,0,0,
10300080,호수 눈망울 얼굴,10300080,0,0,0,0,0,0,
10300081,다크 소울 얼굴,10300081,0,0,0,0,0,0,
10300082,다크 소울 얼굴,10300082,0,0,0,0,0,0,
10300083,새초롬 오드아이 얼굴,10300083,0,0,0,0,0,0,
10300084,새초롬 오드아이 얼굴,10300084,0,0,0,0,0,0,
10300085,방울방울 얼굴,10300085,0,0,0,0,0,0,
10300086,방울방울 얼굴,10300086,0,0,0,0,0,0,
10300089,나른한 얼굴,10300089,0,0,0,0,0,0,
10300090,나른한 얼굴,10300090,0,0,0,0,0,0,
10300091,얼음 눈썹 얼굴,10300091,0,0,0,0,0,0,
10300092,얼음 눈썹 얼굴,10300092,0,0,0,0,0,0,
10300093,악마 계약자 얼굴,10300093,0,0,0,0,0,0,
10300094,악마 계약자 얼굴,10300094,0,0,0,0,0,0,
10300096,초롱초롱 별빛 얼굴,10300096,0,0,0,0,0,0,
10300097,초롱초롱 별빛 얼굴,10300097,0,0,0,0,0,0,
10300098,싸늘한 얼굴,10300098,0,0,0,0,0,0,
10300099,싸늘한 얼굴,10300099,0,0,0,0,0,0,
10300100,악동 얼굴,10300100,0,0,0,0,0,0,
10300101,악동 얼굴,10300101,0,0,0,0,0,0,
10300102,여유로운 얼굴,10300102,0,0,0,0,0,0,
10300103,여유로운 얼굴,10300103,0,0,0,0,0,0,
10300104,강인한 눈빛 얼굴,10300104,0,0,0,0,0,0,
10300105,강인한 눈빛 얼굴,10300105,0,0,0,0,0,0,
10300106,스피릿 오드아이 얼굴,10300106,0,0,0,0,0,0,
10300107,스피릿 오드아이 얼굴,10300107,0,0,0,0,0,0,
10300108,시크 스타츠 얼굴,10300108,0,0,0,0,0,0,
10300109,섹시 오필리아 얼굴,10300109,0,0,0,0,0,0,
10300110,유혹의 뱀파이어 얼굴,10300110,0,0,0,0,0,0,
10300111,프리키 데빌 얼굴,10300111,0,0,0,0,0,0,
10300112,유혹의 뱀파이어 얼굴,10300112,0,0,0,0,0,0,
10300113,프리키 데빌 얼굴,10300113,0,0,0,0,0,0,
10300114,냥냥 고양이 얼굴,10300114,0,0,0,0,0,0,
10300115,냥냥 고양이 얼굴,10300115,0,0,0,0,0,0,
10300116,샤이닝 스타 얼굴,10300116,0,0,0,0,0,0,
10300117,샤이닝 스타 얼굴,10300117,0,0,0,0,0,0,
10300122,사랑에 빠진 얼굴,10300122,0,0,0,0,0,0,
10300123,사랑에 빠진 얼굴,10300123,0,0,0,0,0,0,
10300124,크리스탈 하트 얼굴,10300124,0,0,0,0,0,0,
10300125,크리스탈 하트 얼굴,10300125,0,0,0,0,0,0,
10300126,해피 스마일 얼굴,10300126,0,0,0,0,0,0,
10300127,해피 스마일 얼굴,10300127,0,0,0,0,0,0,
10300128,맑은 눈망울 얼굴,10300128,0,0,0,0,0,0,
10300129,맑은 눈망울 얼굴,10300129,0,0,0,0,0,0,
10300132,설렘 가득 얼굴,10300132,0,0,0,0,0,0,
10300133,설렘 가득 얼굴,10300133,0,0,0,0,0,0,
