#id,name,icon,r1,g1,b1,r2,g2,b2,gltf,ddsd,ddsc,haircutting,
-1,없음,-1,0,0,0,0,0,0,
11600001,가죽 손 보호구,11600001,63,59,51,20,18,15,11600009_F_WornVernon.gltf,11600009_c_wornvernon_d.png,11600009_c_wornvernon_c.png,0,
11600002,포인트 가죽 손 보호구,11600002,63,59,51,20,18,15,11600009_F_WornVernon.gltf,11600009_c_wornvernon_d.png,11600009_c_wornvernon_c.png,0,
11600003,스파이크 가죽 손 보호구,11600003,63,59,51,20,18,15,11600002_F_RollingThunderSpike.gltf,11600002_c_rollingthunderspike_d.png,11600002_c_rollingthunderspike_c.png,0,
11600004,투박한 바이킹 건틀렛,11600004,63,59,51,20,18,15,11600003_F_LittleBoneGauntlet.gltf,11600003_c_littlebonegauntlet_d.png,11600003_c_littlebonegauntlet_c.png,0,
11600006,크란츠 건틀렛,11600006,63,59,51,20,18,15,11600003_F_LittleBoneGauntlet.gltf,11600003_c_littlebonegauntlet_d.png,11600003_c_littlebonegauntlet_c.png,0,
11600007,좀도둑 장갑,11600007,63,59,51,20,18,15,11600038_F_BlackEyeGoldline.gltf,11600038_m_blackeyegoldline_d.png,11600038_m_blackeyegoldline_c.png,0,
11600008,가죽 좀도둑 장갑,11600008,63,59,51,20,18,15,11600038_F_BlackEyeGoldline.gltf,11600038_m_blackeyegoldline_d.png,11600038_m_blackeyegoldline_c.png,0,
11600009,세련된 좀도둑 장갑,11600009,63,59,51,20,18,15,11600038_F_BlackEyeGoldline.gltf,11600038_m_blackeyegoldline_d.png,11600038_m_blackeyegoldline_c.png,0,
11600010,닌자 장갑,11600010,63,59,51,20,18,15,11600039_F_Redline.gltf,11600039_m_redline_d.png,11600039_m_redline_c.png,0,
11600011,도망자의 장갑,11600011,63,59,51,20,18,15,11600039_F_Redline.gltf,11600039_m_redline_d.png,11600039_m_redline_c.png,0,
11600012,자객 장갑,11600012,63,59,51,20,18,15,11600039_F_Redline.gltf,11600039_m_redline_d.png,11600039_m_redline_c.png,0,
11600013,해적 손 보호구,11600013,63,59,51,20,18,15,11600042_F_GLPirateHandGuard.gltf,11600042_c_glpiratehandguard_d.png,11600042_c_glpiratehandguard_c.png,0,
11600014,숙련 자객 손 보호구,11600014,63,59,51,20,18,15,11600039_F_Redline.gltf,11600039_m_redline_d.png,11600039_m_redline_c.png,0,
11600015,십자 해적 손 보호구,11600015,63,59,51,20,18,15,11600044_F_GLCrossPirate.gltf,11600044_c_glcrosspirate_d.png,11600044_c_glcrosspirate_c.png,0,
11600016,초보 마법사 장갑,11600016,63,59,51,20,18,15,11600015_F_ThinLemona.gltf,11600015_c_thinlemona_d.png,11600015_c_thinlemona_c.png,0,
11600017,여행자 장갑,11600017,63,59,51,20,18,15,11600015_F_ThinLemona.gltf,11600015_c_thinlemona_d.png,11600015_c_thinlemona_c.png,0,
11600018,달빛 여행자 장갑,11600018,63,59,51,20,18,15,11600016_F_AnnMoonlight.gltf,11600016_c_annmoonlight_d.png,11600016_c_annmoonlight_c.png,0,
11600019,견습 학자 팔목 장갑,11600019,63,59,51,20,18,15,11600017_F_Golden.gltf,11600017_c_golden_d.png,11600017_c_golden_c.png,0,
11600021,매지션 팔목 장갑,11600021,63,59,51,20,18,15,11600017_F_Golden.gltf,11600017_c_golden_d.png,11600017_c_golden_c.png,0,
11600022,마법사 손 보호대,11600022,63,59,51,20,18,15,11600020_F_GLMageHand.gltf,11600020_c_glmagehand_d.png,11600020_c_glmagehand_c.png,0,
11600023,브론즈 매지션 손 보호대,11600023,63,59,51,20,18,15,11600017_F_Golden.gltf,11600017_c_golden_d.png,11600017_c_golden_c.png,0,
11600024,별빛 마법사 손 보호대,11600024,63,59,51,20,18,15,11600022_F_GLStarlightHandGuard.gltf,11600022_c_glstarlighthandguard_d.png,11600022_c_glstarlighthandguard_c.png,0,
11600025,숲지기 장갑,11600025,63,59,51,20,18,15,11600026_F_BasicMarker.gltf,11600028_c_helenaeagleeye_d.png,11600028_c_helenaeagleeye_c.png,0,
11600026,금빛 숲지기 장갑,11600026,63,59,51,20,18,15,11600026_F_BasicMarker.gltf,11600028_c_helenaeagleeye_d.png,11600028_c_helenaeagleeye_c.png,0,
11600027,로빈훗 장갑,11600027,63,59,51,20,18,15,11600028_F_HelenaEagleEye.gltf,11600028_c_helenaeagleeye_d.png,11600028_c_helenaeagleeye_c.png,0,
11600028,사냥꾼 가죽 장갑,11600028,63,59,51,20,18,15,11600029_F_Shooting.gltf,11600029_c_shooting_d.png,11600029_c_shooting_c.png,0,
11600030,헌팅 가죽 장갑,11600030,63,59,51,20,18,15,11600029_F_Shooting.gltf,11600029_c_shooting_d.png,11600029_c_shooting_c.png,0,
11600031,군악대 장갑,11600031,63,59,51,20,18,15,11600032_F_LeatherScaler.gltf,11600032_c_leatherscaler_d.png,11600032_c_leatherscaler_c.png,0,
11600032,미들 헌팅 장갑,11600032,63,59,51,20,18,15,11600029_F_Shooting.gltf,11600029_c_shooting_d.png,11600029_c_shooting_c.png,0,
11600033,명사수 장갑,11600033,63,59,51,20,18,15,11600034_F_BattleScaler.gltf,11600034_c_battlescaler_d.png,11600034_c_battlescaler_c.png,0,
11600034,디자인 손모아 장갑 (남),11600034,63,59,51,20,18,15,01600001_M_UGC01.gltf,01600001_m_ugc01_d.png,01600001_m_ugc01_d.png,0,
11600035,디자인 손모아 장갑 (여),11600035,63,59,51,20,18,15,01600002_F_UGC01.gltf,01600002_f_ugc01_d.png,01600002_f_ugc01_d.png,0,
11600040,다크 스위프트 핸드가드,11600040,63,59,51,20,18,15,11600049_F_GLDarkSwiftHandguard.gltf,11600049_c_gldarkswifthandgaurd_d.png,11600049_c_gldarkswifthandgaurd_d.png,0,
11600041,십자군 완갑,11600041,63,59,51,20,18,15,11600041_F_GLCrusadesVambrace.gltf,11600042_c_glblackcrusadesvambrace_d.png,11600042_c_glblackcrusadesvambrace_d.png,0,
11600042,은빛 크란츠 완갑,11600042,63,59,51,20,18,15,11600003_F_LittleBoneGauntlet.gltf,11600003_c_littlebonegauntlet_d.png,11600003_c_littlebonegauntlet_c.png,0,
11600044,샤이닝 위자드리 암슬리브,11600044,63,59,51,20,18,15,11600041_F_GLShiningWizardryArmSleeve.gltf,11600041_c_glshiningwizardryarmsleeve_d.png,11600041_c_glshiningwizardryarmsleeve_c.png,0,
11600045,나이티지 리스트 가드,11600045,63,59,51,20,18,15,11600045_F_GLKnightageWristGuard.gltf,11600045_c_glknightagewristguard_d.png,11600045_c_glknightagewristguard_c.png,0,
11600047,사지타리우스 카프 글러브,11600047,63,59,51,20,18,15,11600047_F_GLSagittariusCarpglove.gltf,11600047_c_glsagittariuscarpglove_d.png,11600047_c_glsagittariuscarpglove_c.png,0,
11600048,프로스토 데우스 글러브,11600048,63,59,51,20,18,15,11600048_F_GLProstoDeusGlove.gltf,11600048_c_glprostodeusglove_d.png,11600048_c_glprostodeusglove_c.png,0,
11600049,쉐도우 스파이크 너클,11600049,63,59,51,20,18,15,11600049_F_shadowSpike.gltf,11600049_c_shadowspike_d.png,11600049_c_shadowspike_c.png,0,
11600050,디멘티드 글러브,11600050,63,59,51,20,18,15,11600050_F_GLDementedGlove.gltf,11600050_c_gldementedglove_d.png,11600050_c_gldementedglove_c.png,0,
11600051,펑키드 글러브,11600051,63,59,51,20,18,15,11600051_F_CLPunkKidGlove.gltf,11600051_c_glpunkkidglove_d.png,11600051_c_glpunkkidglove_c.png,0,
11600052,에스더 워머,11600052,63,59,51,20,18,15,11600007_F_GLSilkWarmer.gltf,11600007_c_glsilkwarmer_d.png,11600007_c_glsilkwarmer_c.png,0,
11600053,고급 피혁 장갑,11600053,63,59,51,20,18,15,11600009_F_WornVernon.gltf,11600009_c_wornvernon_d.png,11600009_c_wornvernon_c.png,0,
11600054,포인트 고급 피혁 장갑,11600054,63,59,51,20,18,15,11600009_F_WornVernon.gltf,11600009_c_wornvernon_d.png,11600009_c_wornvernon_c.png,0,
11600055,스파이크 고급 피혁 장갑,11600055,63,59,51,20,18,15,11600002_F_RollingThunderSpike.gltf,11600002_c_rollingthunderspike_d.png,11600002_c_rollingthunderspike_c.png,0,
11600056,투박한 캐리비안 글러브,11600056,63,59,51,20,18,15,11600003_F_LittleBoneGauntlet.gltf,11600003_c_littlebonegauntlet_d.png,11600003_c_littlebonegauntlet_c.png,0,
11600058,나이트 글러브,11600058,63,59,51,20,18,15,11600041_F_GLCrusadesVambrace.gltf,11600042_c_glblackcrusadesvambrace_d.png,11600042_c_glblackcrusadesvambrace_d.png,0,
11600059,슬럼가의 장갑,11600059,63,59,51,20,18,15,11600038_F_BlackEyeGoldline.gltf,11600038_m_blackeyegoldline_d.png,11600038_m_blackeyegoldline_c.png,0,
11600060,슬럼 스타일 레더 글러브,11600060,63,59,51,20,18,15,11600038_F_BlackEyeGoldline.gltf,11600038_m_blackeyegoldline_d.png,11600038_m_blackeyegoldline_c.png,0,
11600061,슬럼 스타일 글러브,11600061,63,59,51,20,18,15,11600038_F_BlackEyeGoldline.gltf,11600038_m_blackeyegoldline_d.png,11600038_m_blackeyegoldline_c.png,0,
11600062,암살 특화 장갑,11600062,63,59,51,20,18,15,11600039_F_Redline.gltf,11600039_m_redline_d.png,11600039_m_redline_c.png,0,
11600064,밴디트 장갑,11600064,63,59,51,20,18,15,11600042_F_GLPirateHandGuard.gltf,11600042_c_glpiratehandguard_d.png,11600042_c_glpiratehandguard_c.png,0,
11600065,바다 모험가 장갑,11600065,63,59,51,20,18,15,11600042_F_GLPirateHandGuard.gltf,11600042_c_glpiratehandguard_d.png,11600042_c_glpiratehandguard_c.png,0,
11600066,견습 법사 장갑,11600066,63,59,51,20,18,15,11600015_F_ThinLemona.gltf,11600015_c_thinlemona_d.png,11600015_c_thinlemona_c.png,0,
11600067,낭만법사 장갑,11600067,63,59,51,20,18,15,11600015_F_ThinLemona.gltf,11600015_c_thinlemona_d.png,11600015_c_thinlemona_c.png,0,
11600068,달빛 낭만법사 장갑,11600068,63,59,51,20,18,15,11600016_F_AnnMoonlight.gltf,11600016_c_annmoonlight_d.png,11600016_c_annmoonlight_c.png,0,
11600069,하급 마법의 장갑,11600069,63,59,51,20,18,15,11600017_F_Golden.gltf,11600017_c_golden_d.png,11600017_c_golden_c.png,0,
11600071,소서러 장갑,11600071,63,59,51,20,18,15,11600020_F_GLMageHand.gltf,11600020_c_glmagehand_d.png,11600020_c_glmagehand_c.png,0,
11600072,성월의 법사 장갑,11600072,63,59,51,20,18,15,11600020_F_GLMageHand.gltf,11600020_c_glmagehand_d.png,11600020_c_glmagehand_c.png,0,
11600073,우드랜드 글러브,11600073,63,59,51,20,18,15,11600026_F_BasicMarker.gltf,11600028_c_helenaeagleeye_d.png,11600028_c_helenaeagleeye_c.png,0,
11600074,골든 우드랜드 글러브,11600074,63,59,51,20,18,15,11600026_F_BasicMarker.gltf,11600028_c_helenaeagleeye_d.png,11600028_c_helenaeagleeye_c.png,0,
11600075,명사수의 장갑,11600075,63,59,51,20,18,15,11600028_F_HelenaEagleEye.gltf,11600028_c_helenaeagleeye_d.png,11600028_c_helenaeagleeye_c.png,0,
11600076,사수의 장갑,11600076,63,59,51,20,18,15,11600029_F_Shooting.gltf,11600029_c_shooting_d.png,11600029_c_shooting_c.png,0,
11600077,명사수 오스칼의 장갑,11600077,63,59,51,20,18,15,11600029_F_Shooting.gltf,11600029_c_shooting_d.png,11600029_c_shooting_c.png,0,
11600078,의장대 글러브,11600078,63,59,51,20,18,15,11600032_F_LeatherScaler.gltf,11600032_c_leatherscaler_d.png,11600032_c_leatherscaler_c.png,0,
11600079,전문 군악대 장갑,11600079,63,59,51,20,18,15,11600032_F_LeatherScaler.gltf,11600032_c_leatherscaler_d.png,11600032_c_leatherscaler_c.png,0,
11600080,기사단 장갑,11600080,63,59,51,20,18,15,11600041_F_GLCrusadesVambrace.gltf,11600042_c_glblackcrusadesvambrace_d.png,11600042_c_glblackcrusadesvambrace_d.png,0,
11600081,차이나 글러브,11600081,63,59,51,20,18,15,11600081_F_GLChineseGlove.gltf,11600081_c_glchineseglove_d.png,11600081_c_glchineseglove_c.png,0,
11600082,방랑자 장갑,11600082,63,59,51,20,18,15,11600082_F_GLWandererGlove.gltf,11600082_c_glwandererglove_d.png,11600082_c_glwandererglove_d.png,0,
11600083,밀리샤 글러브,11600083,63,59,51,20,18,15,11600083_F_GLMilitiaGlove.gltf,11600083_c_glmilitiaglove_d.png,11600083_c_glmilitiaglove_d.png,0,
11600084,스켈레톤 글러브,11600084,63,59,51,20,18,15,11600084_F_GLSkeletonGlove.gltf,11600084_c_glskeletonglove_d.png,11600084_c_glskeletonglove_c.png,0,
11600085,파일럿 글러브,11600085,63,59,51,20,18,15,11600085_F_GLPilotGlove.gltf,11600085_c_glpilotglove_d.png,11600085_c_glpilotglove_c.png,0,
11600086,블러디 더스크 건틀렛,11600086,63,59,51,20,18,15,11600086_F_GLBloodyDuskGauntlet.gltf,11600086_c_glbloodyduskgauntlet_d.png,11600086_c_glbloodyduskgauntlet_c.png,0,
11600087,세비어즈 글러브,11600087,63,59,51,20,18,15,11600087_F_GLSaviorsGlove.gltf,11600087_c_glsaviorsglove_d.png,11600087_c_glsaviorsglove_c.png,0,
11600089,팬텀 글러브,11600089,63,59,51,20,18,15,11600089_F_GLPhantomGlove.gltf,11600089_c_glphantomglove_d.png,11600089_c_glphantomglove_c.png,0,
11600090,추적자 글러브,11600090,63,59,51,20,18,15,11600090_F_GLChaserGlove.gltf,11600090_c_glchaserglove_d.png,11600090_c_glchaserglove_c.png,0,
11600092,스터드 글러브,11600092,63,59,51,20,18,15,11600092_F_GLStuddedGlove.gltf,11600092_c_glstuddedglove_d.png,11600092_c_glstuddedglove_c.png,0,
11600093,에네스 글러브,11600093,63,59,51,20,18,15,11600093_F_GLEnesGlove.gltf,11600093_c_glenesglove_d.png,11600093_c_glenesglove_c.png,0,
11600094,플라이트 글러브,11600094,63,59,51,20,18,15,11600094_F_GLFlightGlove.gltf,11600094_c_glflightglove_d.png,11600094_c_glflightglove_c.png,0,
11600095,시피르 글러브,11600095,63,59,51,20,18,15,11600095_F_GLSurfireGlove.gltf,11600095_c_glsurfireglove_d.png,11600095_c_glsurfireglove_c.png,0,
11600096,금룡갑,11600096,63,59,51,20,18,15,11600096_F_GLGoldDragonGlove.gltf,11600096_c_glgolddragonglove_d.png,11600096_c_glgolddragonglove_c.png,0,
11600097,아쿠아 글러브,11600097,63,59,51,20,18,15,11600097_F_GLAquaGlove.gltf,11600097_c_glaquaglove_d.png,11600097_c_glaquaglove_c.png,0,
11600098,가디언 건틀렛,11600098,63,59,51,20,18,15,11600098_F_GLGuardianGauntlet.gltf,11600098_c_glguardiangauntlet_d.png,11600098_c_glguardiangauntlet_c.png,0,
11600099,프렌지 글러브,11600099,63,59,51,20,18,15,11600099_F_GLFrenzyGlove.gltf,11600099_c_glfrenzyglove_d.png,11600099_c_glfrenzyglove_c.png,0,
11600100,검은 크란츠 건틀렛,11600100,63,59,51,20,18,15,11600005_F_RollingThunderBlackbone.gltf,11600005_c_rollingthunderblackbone_d.png,11600005_c_rollingthunderblackbone_c.png,0,
11600101,실버 매지션 글러브,11600101,63,59,51,20,18,15,11600019_F_AnnStarlight.gltf,11600019_c_annstarlight_d.png,11600019_c_annstarlight_c.png,0,
11600102,아크 헌팅 글러브,11600102,63,59,51,20,18,15,11600031_F_HelenaHawkEye.gltf,11600031_c_helenahawkeye_d.png,11600031_c_helenahawkeye_c.png,0,
11600103,강한 자객 장갑,11600103,63,59,51,20,18,15,11600041_F_SteelStealline.gltf,11600041_m_steelstealline_d.png,11600041_m_steelstealline_c.png,0,
11600104,블랙 나이트 건틀렛,11600104,63,59,51,20,18,15,11600042_F_GLBlackCrusadesVambrace.gltf,11600042_c_glblackcrusadesvambrace_d.png,11600042_c_glblackcrusadesvambrace_d.png,0,
11600105,미드 소서러 글러브,11600105,63,59,51,20,18,15,11600020_F_GLMageHand.gltf,11600020_c_glmagehand_d.png,11600020_c_glmagehand_c.png,0,
11600106,중급 의장대 글러브,11600106,63,59,51,20,18,15,11600032_F_LeatherScaler.gltf,11600032_c_leatherscaler_d.png,11600032_c_leatherscaler_c.png,0,
11600107,어퍼 밴디트 장갑,11600107,63,59,51,20,18,15,11600042_F_GLPirateHandGuard.gltf,11600042_c_glpiratehandguard_d.png,11600042_c_glpiratehandguard_c.png,0,
11600109,하이 소서러 글러브,11600109,63,59,51,20,18,15,11600022_F_GLStarlightHandGuard.gltf,11600022_c_glstarlighthandguard_d.png,11600022_c_glstarlighthandguard_c.png,0,
11600110,최상급 의장대 장갑,11600110,63,59,51,20,18,15,11600034_F_BattleScaler.gltf,11600034_c_battlescaler_d.png,11600034_c_battlescaler_c.png,0,
11600111,모스트 밴디트 글러브,11600111,63,59,51,20,18,15,11600044_F_GLCrossPirate.gltf,11600044_c_glcrosspirate_d.png,11600044_c_glcrosspirate_c.png,0,
11600112,호루스 건틀릿,11600112,63,59,51,20,18,15,11600112_F_GLHorusGauntlet.gltf,11600112_c_glhorusgauntlet_d.png,11600112_c_glhorusgauntlet_d.png,0,
11600113,그리피나 건틀릿,11600113,63,59,51,20,18,15,11600113_F_GLGriffinaGauntlet.gltf,11600113_c_glgriffinagauntlet_d.png,11600113_c_glgriffinagauntlet_d.png,0,
11600114,도톰한 니트 장갑 (남),11600114,239,112,145,153,66,82,11600114_M_GLKnitGloves.gltf,11600114_c_glknitgloves_d.png,11600114_c_glknitgloves_c.png,0,
11600115,도톰한 니트 장갑 (여),11600115,249,137,77,147,60,20,11600115_F_GLKnitGloves.gltf,11600114_c_glknitgloves_d.png,11600114_c_glknitgloves_c.png,0,
11600116,데보라크의 장갑,11600116,63,59,51,20,18,15,11600116_F_GLDevoracGlove.gltf,11600116_c_gldevoracglove_d.png,11600116_c_gldevoracglove_d.png,0,
11600117,크러스트 장갑,11600100,63,59,51,20,18,15,11600005_F_RollingThunderBlackbone.gltf,11600005_c_rollingthunderblackbone_d.png,11600005_c_rollingthunderblackbone_c.png,0,
11600118,디비전 장갑,11600058,63,59,51,20,18,15,11600041_F_GLCrusadesVambrace.gltf,11600042_c_glblackcrusadesvambrace_d.png,11600042_c_glblackcrusadesvambrace_d.png,0,
