#id,name,icon,r1,g1,b1,r2,g2,b2,gltf,ddsd,ddsc,haircutting,
-1,없음,-1,0,0,0,0,0,0,
10200001,발랄 댄디 컷,00200001,63,59,51,20,18,15,00200001_M_WolfHug_A.gltf,00200001_m_wolfhug_d.png,00200001_m_wolfhug_c.png,Bip01 Spine1,
10200002,솔트 모히칸 헤어,00200002,63,59,51,20,18,15,00200002_M_SoltMohican_A.gltf,00200002_m_soltmohican_d.png,00200002_m_soltmohican_c.png,Bip01 Spine1,
10200003,쿨가이 헤어,00200003,63,59,51,20,18,15,00200003_M_CoolGuy_A.gltf,00200003_m_coolguy_c.png,00200003_m_coolguy_c.png,Bip01 Spine1,
10200004,보헤미안 헤어,00200004,63,59,51,20,18,15,00200004_M_Bohemian_A.gltf,00200004_m_bohemian_d.png,00200004_m_bohemian_c.png,Bip01 Spine1,
10200005,어니언 헤어,00200005,63,59,51,20,18,15,00200005_M_Onionhair_A.gltf,00200005_m_onionhair_c.png,00200005_m_onionhair_c.png,Bip01 Spine1,
10200006,발랄 웨이브,00200006,63,59,51,20,18,15,00200006_F_VanillaGirl_A.gltf,00200006_f_vanillagirl_c.png,00200006_f_vanillagirl_c.png,Bip01 Spine1,
10200008,플라워 장식 헤어,00200008,63,59,51,20,18,15,00200008_F_FlowerUp.gltf,00200008_f_flowerup_d.png,00200008_f_flowerup_c.png,Bip01 Spine1,
10200009,사과 헤어,00200009,63,59,51,20,18,15,00200009_F_Apple_A.gltf,00200009_f_apple_d.png,00200009_f_apple_c.png,Bip01 Spine1,
10200013,왕리본 숏 헤어,00200013,63,59,51,20,18,15,00200013_F_AmelieBob_A.gltf,00200013_f_ameliebob_d.png,00200013_f_ameliebob_c.png,Bip01 Spine1,
10200014,댄디 울프컷 헤어,00200014,63,59,51,20,18,15,00200014_M_DandyWolf_A.gltf,00200014_m_dandywolf_d.png,00200014_m_dandywolf_c.png,Bip01 Spine1,
10200016,사무라이 헤어,00200016,63,59,51,20,18,15,00200016_M_Samurai_P_A.gltf,00200016_m_samurai_p_d.png,00200016_m_samurai_p_c.png,Bip01 Spine1,
10200017,시크 단발 헤어,00200017,63,59,51,20,18,15,00200017_F_ChicShorthair_A.gltf,00200017_f_chicshorthair_d.png,00200017_f_chicshorthair_c.png,Bip01 Spine1,
10200018,링링 헤어,00200018,63,59,51,20,18,15,00200018_F_RingRingHair_A.gltf,00200018_f_ringringhair_d.png,00200018_f_ringringhair_c.png,Bip01 Spine1,
10200019,더벅 머리,00200019,63,59,51,20,18,15,00200019_M_DisheveledHair_A.gltf,00200019_m_disheveledhair_d.png,00200019_m_disheveledhair_c.png,Bip01 Spine1,
10200020,젠틀 웨이브,00200020,63,59,51,20,18,15,00200020_M_GentleWave_A.gltf,00200020_m_gentlewave_d.png,00200020_m_gentlewave_c.png,Bip01 Spine1,
10200021,청순 롱 헤어,00200021,63,59,51,20,18,15,00200021_F_PureLongHair_A.gltf,00200021_f_purelonghair_d.png,00200021_f_purelonghair_c.png,Bip01 Spine1,
10200022,어니언 헤어,00200022,63,59,51,20,18,15,00200022_F_Onionhair_A.gltf,00200022_f_onionhair_d.png,00200022_f_onionhair_c.png,Bip01 Spine1,
10200023,스크래치 헤어,00200023,63,59,51,20,18,15,00200023_M_ScratchHair_A.gltf,00200023_m_scratchhair_d.png,00200023_m_scratchhair_c.png,Bip01 Spine1,
10200024,산발머리,00200024,63,59,51,20,18,15,00200024_F_WindBlownHair_A.gltf,00200024_f_windblownhair_d.png,00200024_f_windblownhair_c.png,Bip01 Spine1,
10200025,엘레강스 롤링 펌,00200025,63,59,51,20,18,15,00200025_F_ElegantRollPerm_A.gltf,00200025_f_elegantrollperm_d.png,00200025_f_elegantrollperm_c.png,Bip01 Spine1,
10200026,단발 바디 펌,00200026,63,59,51,20,18,15,00200026_F_ShortBodyPerm_A.gltf,00200026_f_shortbodyperm_d.png,00200026_f_shortbodyperm_c.png,Bip01 Spine1,
10200027,내추럴 업 스타일,00200027,63,59,51,20,18,15,00200027_F_NaturalUpStyle_A.gltf,00200027_f_naturalupstyle_d.png,00200027_f_naturalupstyle_c.png,Bip01 Spine1,
10200029,라이더 헤어,00200029,63,59,51,20,18,15,00200029_M_RiderHair_A.gltf,00200029_m_riderhair_d.png,00200029_m_riderhair_c.png,Bip01 Spine1,
10200030,프린세스 컷,00200030,63,59,51,20,18,15,00200030_F_PrincessCut_A.gltf,00200030_f_princesscut_d.png,00200030_f_princesscut_c.png,Bip01 Spine1,
10200031,아이언 롤링 헤어,00200031,63,59,51,20,18,15,10200031_F_IronRollHair_P2.gltf,10200031_f_ironrollhair_p_d.png,10200031_f_ironrollhair_p_c.png,Bip01 Spine1,
10200034,카리스마 슬릭백 헤어,10200034,63,59,51,20,18,15,10200034_M_CharismaSleekback_A.gltf,10200034_m_charismasleekback_d.png,10200034_m_charismasleekback_c.png,Bip01 Spine1,
10200035,로맨스 단발 머리,10200035,63,59,51,20,18,15,10200035_M_RomanceBob_A.gltf,10200035_m_romancebob_d.png,10200035_m_romancebob_c.png,Bip01 Spine1,
10200036,러블리 브리즈 헤어,10200036,63,59,51,20,18,15,10200036_M_LovelyBreeze_A.gltf,10200036_m_lovelybreeze_d.png,10200036_m_lovelybreeze_c.png,Bip01 Spine1,
10200037,다크 윈드 헤어,10200037,63,59,51,20,18,15,10200038_M_DarkWind_A.gltf,10200038_m_darkwind_d.png,10200038_m_darkwind_c.png,Bip01 Spine1,
10200038,청풍명월 헤어,10200038,63,59,51,20,18,15,10200037_M_ClearMoon_P_A.gltf,10200037_m_clearmoon_d.png,10200037_m_clearmoon_c.png,Bip01 Spine1,
10200039,토벤 머리,10200039,63,59,51,20,18,15,10200039_M_Toben_A.gltf,10200039_m_toben_d.png,10200039_m_toben_c.png,Bip01 Spine1,
10200040,숏 볼륨 펌,10200040,63,59,51,20,18,15,10200040_F_ShortPerm_A.gltf,10200040_f_shortperm_c.png,10200040_f_shortperm_c.png,Bip01 Spine1,
10200041,언발란스 투블럭 컷,10200041,63,59,51,20,18,15,10200041_M_UnbalanceTwoBlock_A.gltf,10200041_m_unbalancetwoblock_d.png,10200041_m_unbalancetwoblock_c.png,Bip01 Spine1,
10200042,원더 바니 헤어,10200042,63,59,51,20,18,15,10200042_F_WonderBanny_A.gltf,10200042_f_wonderbanny_c.png,10200042_f_wonderbanny_c.png,Bip01 Spine1,
10200043,아프로 헤어,10200043,63,59,51,20,18,15,10200043_M_Afro_A.gltf,10200043_m_afro_d.png,10200043_m_afro_c.png,Bip01 Spine1,
10200044,로맨틱 도로시 헤어,10200044,63,59,51,20,18,15,10200044_F_RomaticDorothy_A.gltf,10200044_f_romaticdorothy_d.png,10200044_f_romaticdorothy_c.png,Bip01 Spine1,
10200045,발롱 펌,10200045,63,59,51,20,18,15,10200045_M_BallonPerm_A.gltf,10200045_m_ballonperm_d.png,10200045_m_ballonperm_c.png,Bip01 Spine1,
10200046,와일드 샤기 컷,10200046,63,59,51,20,18,15,10200046_M_WildShaggy_A.gltf,10200046_m_wildshaggy_d.png,10200046_m_wildshaggy_c.png,Bip01 Spine1,
10200047,담비 헤어,10200047,63,59,51,20,18,15,10200047_F_DambiHair_A.gltf,10200047_f_dambihair_d.png,10200047_f_dambihair_c.png,Bip01 Spine1,
10200048,소프트 모히칸 헤어,10200048,63,59,51,20,18,15,10200048_F_SoftMohican_A.gltf,10200048_f_softmohican_d.png,10200048_f_softmohican_c.png,Bip01 Spine1,
10200049,스윗 리젠트,10200049,63,59,51,20,18,15,10200049_M_SweetRegent_A.gltf,10200049_m_sweetregent_d.png,10200049_m_sweetregent_c.png,Bip01 Spine1,
10200050,로얄 댄디 헤어,10200050,63,59,51,20,18,15,10200050_M_RoyalDandy_A.gltf,10200050_m_royaldandy_d.png,10200050_m_royaldandy_c.png,Bip01 Spine1,
10200051,불꽃머리,10200051,63,59,51,20,18,15,10200051_M_FlameHair_A.gltf,10200051_m_flamehair_d.png,10200051_m_flamehair_c.png,Bip01 Spine1,
10200052,클래식 웨이브,10200052,63,59,51,20,18,15,10200052_M_ClassicWave_P_A.gltf,10200052_m_classicwave_d.png,10200052_m_classicwave_c.png,Bip01 Spine1,
10200053,네츄럴 꽁지머리,10200053,63,59,51,20,18,15,10200053_M_NaturalTail_A.gltf,10200053_m_naturaltail_d.png,10200053_m_naturaltail_c.png,Bip01 Spine1,
10200054,심플 피그 테일,10200054,63,59,51,20,18,15,10200054_F_SimplePigTail_A.gltf,10200054_f_simplepigtail_d.png,10200054_f_simplepigtail_c.png,Bip01 Spine1,
10200055,빅 포니테일,10200055,63,59,51,20,18,15,10200055_F_BigPonyTail_P_A.gltf,10200055_f_bigponytail_d.png,10200055_f_bigponytail_c.png,Bip01 Spine1,
10200056,볼륨 세팅 펌,10200056,63,59,51,20,18,15,10200056_F_VolumeSettingPerm_A.gltf,10200056_f_volumesettingperm_d.png,10200056_f_volumesettingperm_c.png,Bip01 Spine1,
10200057,깔끔 단발머리,10200057,63,59,51,20,18,15,10200057_F_TidyShortHair_A.gltf,10200057_f_tidyshorthair_d.png,10200057_f_tidyshorthair_c.png,Bip01 Spine1,
10200058,페어리 포니테일,10200058,63,59,51,20,18,15,10200058_F_FairyPonyTail_P_A.gltf,10200058_f_fairyponytail_d.png,10200058_f_fairyponytail_c.png,Bip01 Spine1,
10200059,숏 세팅 펌,10200059,63,59,51,20,18,15,10200059_F_ShortSettingPerm_A.gltf,10200059_f_shortsettingperm_d.png,10200059_f_shortsettingperm_c.png,Bip01 Spine1,
10200060,마망 헤어,10200060,63,59,51,20,18,15,10200060_F_MamangHair_A.gltf,10200060_f_mamanghair_d.png,10200060_f_mamanghair_c.png,Bip01 Spine1,
10200062,묶음머리,10200062,63,59,51,20,18,15,10200062_M_TiedHair_A.gltf,10200062_m_tiedhair_d.png,10200062_m_tiedhair_c.png,Bip01 Spine1,
10200063,밤톨머리,10200063,63,59,51,20,18,15,10200063_M_ChestnutHair_A.gltf,10200063_m_chestnuthair_d.png,10200063_m_chestnuthair_c.png,Bip01 Spine1,
10200064,발랄 포니테일,10200064,63,59,51,20,18,15,10200064_F_LivelyPonyTail_P_A.gltf,10200064_f_livelyponytail_d.png,10200064_f_livelyponytail_c.png,Bip01 Spine1,
10200065,올림머리,10200065,63,59,51,20,18,15,10200065_M_UpHair_A.gltf,10200065_c_uphair_d.png,10200065_c_uphair_c.png,Bip01 Spine1,
10200066,올림머리,10200066,63,59,51,20,18,15,10200066_F_UpHair_A.gltf,10200065_c_uphair_d.png,10200065_c_uphair_c.png,Bip01 Spine1,
10200067,총총머리,10200067,63,59,51,20,18,15,10200067_F_ChongChong_A.gltf,10200067_f_chongchong_d.png,10200067_f_chongchong_c.png,Bip01 Spine1,
10200068,쉐도우 펌,10200068,63,59,51,20,18,15,10200068_M_ShadowPerm_A.gltf,10200068_m_shadowperm_d.png,10200068_m_shadowperm_c.png,Bip01 Spine1,
10200069,볼륨 레이어 컷,10200069,63,59,51,20,18,15,10200069_M_VolumeLayer_A.gltf,10200069_m_volumelayer_d.png,10200069_m_volumelayer_c.png,Bip01 Spine1,
10200070,롤링 포니테일,10200070,63,59,51,20,18,15,10200070_F_RollingPonyTail_P_A.gltf,10200070_f_rollingponytail_d.png,10200070_f_rollingponytail_c.png,Bip01 Spine1,
10200071,하드 모히칸,10200071,63,59,51,20,18,15,10200071_M_HardMohican_A.gltf,10200071_m_hardmohican_d.png,10200071_m_hardmohican_c.png,Bip01 Spine1,
10200072,방울머리,10200072,63,59,51,20,18,15,10200072_F_WheelHair_A.gltf,10200072_f_wheelhair_d.png,10200072_f_wheelhair_c.png,Bip01 Spine1,
10200073,뻗침머리,10200073,63,59,51,20,18,15,10200073_M_StickOutHair_A.gltf,10200073_m_stickouthair_d.png,10200073_m_stickouthair_c.png,Bip01 Spine1,
