#id,name,icon,r1,g1,b1,r2,g2,b2,gltf,ddsd,ddsc,haircutting,
-1,없음,-1,0,0,0,0,0,0,
11800007,운명의 날개,11800007,63,59,51,20,18,15,11800007_F_WingOfDestiny.gltf,11800007_c_wingofdestiny_d.png,11800007_c_wingofdestiny_d.png,Bip01 Spine2,
11800008,마크52 알파의 추진기,11800008,63,59,51,20,18,15,11800008_MTAlphaBooster.gltf,11800008_mtalphabooster_d.png,11800008_mtalphabooster_d.png,Bip01 Spine1,
11800009,마크52 베타의 추진기,11800009,63,59,51,20,18,15,11800009_MTBetaBooster.gltf,11800009_mtbetabooster_d.png,11800009_mtbetabooster_d.png,Bip01 Spine1,
11800010,마크52 오메가의 추진기,11800010,63,59,51,20,18,15,11800010_MTOmegaBooster.gltf,11800010_mtomegabooster_d.png,11800010_mtomegabooster_d.png,Bip01 Spine1,
11800011,그리폰의 날개,11800011,63,59,51,20,18,15,11800011_MTGriffonWings.gltf,11800011_mtgriffonwings_d.png,11800011_mtgriffonwings_d.png,Bip01 Spine1,
11800012,그리피나의 날개,11800012,63,59,51,20,18,15,11800012_MTGrifinaWings.gltf,11800012_mtgrifinawings_d.png,11800012_mtgrifinawings_d.png,Bip01 Spine1,
11800013,호루스의 날개,11800013,63,59,51,20,18,15,11800013_MTGriffWings.gltf,11800013_mtgriffwings_d.png,11800013_mtgriffwings_d.png,Bip01 Spine1,
11800016,비상의 망토,11800016,63,59,51,20,18,15,11800007_F_WingOfDestiny.gltf,11800007_c_wingofdestiny_d.png,11800007_c_wingofdestiny_d.png,Bip01 Spine2,
11800018,국왕의 망토,11800018,63,59,51,20,18,15,11800015_F_MTKingMantle.gltf,11800015_c_mtkingmantle_d.png,11800015_c_mtkingmantle_d.png,Bip01 Spine2,
11800019,사수의 망토,11800019,63,59,51,20,18,15,11800016_F_MTArcherMantle.gltf,11800016_c_mtarchermantle_d.png,11800016_c_mtarchermantle_d.png,Bip01 Spine2,
11800020,벽타는 자의 망토,11800020,63,59,51,20,18,15,11800017_F_MTRagsMantle.gltf,11800017_c_mtragsmantle_d.png,11800017_c_mtragsmantle_d.png,Bip01 Spine2,
11800021,기사단의 망토,11800021,63,59,51,20,18,15,11800018_F_MTKnightMantle.gltf,11800018_c_mtknightmantle_d.png,11800018_c_mtknightmantle_d.png,Bip01 Spine2,
11800022,용사의 망토,11800022,63,59,51,20,18,15,11800019_F_MTWarriorMantle.gltf,11800019_c_mtwarriormantle_d.png,11800019_c_mtwarriormantle_d.png,Bip01 Spine2,
11800023,포격의 망토,11800023,63,59,51,20,18,15,11800020_F_MTArtilleryMantle.gltf,11800020_c_mtartillerymantle_d.png,11800020_c_mtartillerymantle_d.png,Bip01 Spine2,
11800024,암살의 망토,11800024,63,59,51,20,18,15,11800021_F_MTAssassinateMantle.gltf,11800021_c_mtassassinatemantle_d.png,11800021_c_mtassassinatemantle_d.png,Bip01 Spine2,
11800025,바포메트의 망토,11800025,63,59,51,20,18,15,11800022_F_MTBaphometMantle.gltf,11800022_c_mtbaphometmantle_d.png,11800022_c_mtbaphometmantle_d.png,Bip01 Spine2,
11800026,영광의 망토,11800026,63,59,51,20,18,15,11800023_F_MTGloriousMantle.gltf,11800023_c_mtgloriousmantle_d.png,11800023_c_mtgloriousmantle_d.png,Bip01 Spine2,
11800027,엠블럼 망토,11800027,63,59,51,20,18,15,11800024_F_MTEmblemMantle.gltf,11800024_c_mtemblemmantle_d.png,11800024_c_mtemblemmantle_d.png,Bip01 Spine2,
11800028,상처난 망토,11800028,63,59,51,20,18,15,11800025_F_MTInjuredMantle.gltf,11800025_c_mtinjuredmantle_d.png,11800025_c_mtinjuredmantle_d.png,Bip01 Spine2,
11800029,격자무늬 망토,11800029,63,59,51,20,18,15,11800026_F_MTCheckMantle.gltf,11800026_c_mtcheckmantle_d.png,11800026_c_mtcheckmantle_d.png,Bip01 Spine2,
11800030,항해사의 망토,11800030,63,59,51,20,18,15,11800027_F_MTMateMantle.gltf,11800027_c_mtmatemantle_d.png,11800027_c_mtmatemantle_d.png,Bip01 Spine2,
11800031,단추장식 망토,11800031,63,59,51,20,18,15,11800028_F_MTButtonMantle.gltf,11800028_c_mtbuttonmantle_d.png,11800028_c_mtbuttonmantle_d.png,Bip01 Spine2,
11800032,발록의 날개,11800032,63,59,51,20,18,15,11800032_MTBalrogWing.gltf,11800032_mtbalrogwing_d.png,11800032_mtbalrogwing_d.png,Bip01 Spine1,
11800033,자쿰의 망토,11800033,63,59,51,20,18,15,11800033_F_MTZakumMantle.gltf,11800033_mtzakummantle_d.png,11800033_mtzakummantle_d.png,Bip01 Spine2,
11800034,침투자의 망토,11800034,63,59,51,20,18,15,11800018_F_MTKnightMantle.gltf,11800018_c_mtknightmantle_d.png,11800018_c_mtknightmantle_d.png,Bip01 Spine2,
11800035,질주하는 자의 망토,11800035,63,59,51,20,18,15,11800019_F_MTWarriorMantle.gltf,11800019_c_mtwarriormantle_d.png,11800019_c_mtwarriormantle_d.png,Bip01 Spine2,
11800036,멈추지 않는 자의 망토,11800036,63,59,51,20,18,15,11800020_F_MTArtilleryMantle.gltf,11800020_c_mtartillerymantle_d.png,11800020_c_mtartillerymantle_d.png,Bip01 Spine2,
11800037,완벽한 수호자의 망토,11800037,63,59,51,20,18,15,11800021_F_MTAssassinateMantle.gltf,11800021_c_mtassassinatemantle_d.png,11800021_c_mtassassinatemantle_d.png,Bip01 Spine2,
11800038,초급 수비자의 망토,11800038,63,59,51,20,18,15,11800019_F_MTWarriorMantle.gltf,11800019_c_mtwarriormantle_d.png,11800019_c_mtwarriormantle_d.png,Bip01 Spine2,
11800039,탁월한 방어자의 망토,11800039,63,59,51,20,18,15,11800020_F_MTArtilleryMantle.gltf,11800020_c_mtartillerymantle_d.png,11800020_c_mtartillerymantle_d.png,Bip01 Spine2,
11800045,어두운 그림자의 망토,11800045,63,59,51,20,18,15,11800025_F_MTInjuredMantle.gltf,11800025_c_mtinjuredmantle_d.png,11800025_c_mtinjuredmantle_d.png,Bip01 Spine2,
11800046,앱솔루트 망토,11800046,63,59,51,20,18,15,11800026_F_MTCheckMantle.gltf,11800026_c_mtcheckmantle_d.png,11800026_c_mtcheckmantle_d.png,Bip01 Spine2,
11800047,가벼운 운명의 날개,11800007,63,59,51,20,18,15,11800007_F_WingOfDestiny.gltf,11800007_c_wingofdestiny_d.png,11800007_c_wingofdestiny_d.png,Bip01 Spine2,
11800048,가벼운 국왕의 망토,11800018,63,59,51,20,18,15,11800015_F_MTKingMantle.gltf,11800015_c_mtkingmantle_d.png,11800015_c_mtkingmantle_d.png,Bip01 Spine2,
11800049,바로타 기념 망토,11800018,63,59,51,20,18,15,11800015_F_MTKingMantle.gltf,11800015_c_mtkingmantle_d.png,11800015_c_mtkingmantle_d.png,Bip01 Spine2,
11800050,거미줄 망토,11800019,63,59,51,20,18,15,11800016_F_MTArcherMantle.gltf,11800016_c_mtarchermantle_d.png,11800016_c_mtarchermantle_d.png,Bip01 Spine2,
11800051,엘보의 잎사귀 망토,11800020,63,59,51,20,18,15,11800017_F_MTRagsMantle.gltf,11800017_c_mtragsmantle_d.png,11800017_c_mtragsmantle_d.png,Bip01 Spine2,
11800052,러프의 망토,11800021,63,59,51,20,18,15,11800018_F_MTKnightMantle.gltf,11800018_c_mtknightmantle_d.png,11800018_c_mtknightmantle_d.png,Bip01 Spine2,
11800053,대마법사의 망토,11800022,63,59,51,20,18,15,11800019_F_MTWarriorMantle.gltf,11800019_c_mtwarriormantle_d.png,11800019_c_mtwarriormantle_d.png,Bip01 Spine2,
11800054,피그밍그 망토,11800007,63,59,51,20,18,15,11800007_F_WingOfDestiny.gltf,11800007_c_wingofdestiny_d.png,11800007_c_wingofdestiny_d.png,Bip01 Spine2,
11800055,바이오 트랜스 케이프,11800018,63,59,51,20,18,15,11800015_F_MTKingMantle.gltf,11800015_c_mtkingmantle_d.png,11800015_c_mtkingmantle_d.png,Bip01 Spine2,
11800056,레르노스의 망토,11800056,63,59,51,20,18,15,11800056_MTLernosMentle.gltf,11800056_c_mtlernosmentle_d.png,11800056_c_mtlernosmentle_d.png,Bip01 Pelvis,
11800057,가치있는 망토,11800025,63,59,51,20,18,15,11800022_F_MTBaphometMantle.gltf,11800022_c_mtbaphometmantle_d.png,11800022_c_mtbaphometmantle_d.png,Bip01 Spine2,
11800058,헤로우스 케이프,11800027,63,59,51,20,18,15,11800024_F_MTEmblemMantle.gltf,11800024_c_mtemblemmantle_d.png,11800024_c_mtemblemmantle_d.png,Bip01 Spine2,
11800059,진열된 망토,11800030,63,59,51,20,18,15,11800027_F_MTMateMantle.gltf,11800027_c_mtmatemantle_d.png,11800027_c_mtmatemantle_d.png,Bip01 Spine2,
11800060,흉포한 망토,11800030,63,59,51,20,18,15,11800027_F_MTMateMantle.gltf,11800027_c_mtmatemantle_d.png,11800027_c_mtmatemantle_d.png,Bip01 Spine2,
11800063,교역된 망토,11800046,63,59,51,20,18,15,11800026_F_MTCheckMantle.gltf,11800026_c_mtcheckmantle_d.png,11800026_c_mtcheckmantle_d.png,Bip01 Spine2,
11800064,흥정된 망토,11800030,63,59,51,20,18,15,11800027_F_MTMateMantle.gltf,11800027_c_mtmatemantle_d.png,11800027_c_mtmatemantle_d.png,Bip01 Spine2,
11800065,카트반의 날개,11800065,63,59,51,20,18,15,11800065_KatvanWing.gltf,11800065_mtkatvanwing_d.png,11800065_mtkatvanwing_d.png,Bip01 Spine1,
11800066,바르칸트의 날개,11800066,63,59,51,20,18,15,11800066_C_MTBarkhantWing.gltf,11800066_barkhantwing_d.png,11800066_barkhantwing_d.png,Bip01 Spine1,
