#id,name,icon,r1,g1,b1,r2,g2,b2,gltf,ddsd,ddsc,haircutting,
-1,없음,-1,0,0,0,0,0,0,
11500001,초보자 운동복 하의,11500001,63,59,51,20,18,15,11500001_F_BasicSportwearPants.gltf,11500001_f_basicsportwearpants_d.png,11500001_f_basicsportwearpants_c.png,0,
11500002,반바지 레깅스,11500002,63,59,51,20,18,15,11500002_F_CasualShortPants.gltf,11500002_f_casualshortpants_d.png,11500002_f_casualshortpants_c.png,0,
11500003,가죽 다리 보호구,11500003,63,59,51,20,18,15,11500014_F_ProbationWarrior.gltf,11500014_f_probationwarrior_d.png,11500014_f_probationwarrior_c.png,0,
11500004,포인트 가죽 다리 보호구,11500004,63,59,51,20,18,15,11500003_F_BronzeWarrior.gltf,11500003_f_bronzewarrior_d.png,11500003_f_bronzewarrior_c.png,0,
11500005,스파이크 가죽 다리 보호구,11500005,63,59,51,20,18,15,11500004_F_RollingThunderSpike.gltf,11500004_f_rollingthunderspike_d.png,11500004_f_rollingthunderspike_c.png,0,
11500006,투박한 바이킹 보호대,11500006,63,59,51,20,18,15,11500005_F_LittleBone.gltf,11500005_f_littlebone_d.png,11500005_f_littlebone_c.png,0,
11500007,캐리비안 팬츠,11500007,63,59,51,20,18,15,11500006_F_Viking.gltf,11500006_f_viking_d.png,11500006_f_viking_c.png,0,
11500008,크란츠 보호대,11500008,63,59,51,20,18,15,11500005_F_LittleBone.gltf,11500005_f_littlebone_d.png,11500005_f_littlebone_c.png,0,
11500009,좀도둑 하의,11500009,63,59,51,20,18,15,11500028_F_ProbationThief.gltf,11500028_f_probationthief_d.png,11500028_f_probationthief_c.png,0,
11500010,가죽 좀도둑 하의,11500010,63,59,51,20,18,15,11500013_F_ProbationThief.gltf,11500013_f_probationthief_d.png,11500013_f_probationthief_c.png,0,
11500011,세련된 좀도둑 하의,11500011,63,59,51,20,18,15,11500029_F_BlackEyeGoldline.gltf,11500029_f_blackeyegoldline_d.png,11500029_f_blackeyegoldline_c.png,0,
11500012,닌자 도복 하의,11500012,63,59,51,20,18,15,11500030_F_Junior.gltf,11500030_m_junior_d.png,11500030_m_junior_c.png,0,
11500013,가죽 닌자 도복 하의,11500013,63,59,51,20,18,15,11500031_F_FirstDegree.gltf,11500031_m_firstdegree_d.png,11500031_m_firstdegree_c.png,0,
11500014,자객 하의,11500014,63,59,51,20,18,15,11500030_F_Junior.gltf,11500030_m_junior_d.png,11500030_m_junior_c.png,0,
11500015,해적 보호구,11500015,63,59,51,20,18,15,11500033_F_PAPirateBottom.gltf,11500033_f_papiratebottom_d.png,11500033_f_papiratebottom_c.png,0,
11500016,숙련 자객 보호구,11500016,63,59,51,20,18,15,11500031_F_FirstDegree.gltf,11500031_m_firstdegree_d.png,11500031_m_firstdegree_c.png,0,
11500017,십자 해적 보호구,11500017,63,59,51,20,18,15,11500035_F_PACrossPirate.gltf,11500035_f_pacrosspirate_d.png,11500035_f_pacrosspirate_c.png,0,
11500018,숲지기 수렵 하의,11500018,63,59,51,20,18,15,11500011_F_ProbationRanger.gltf,11500011_f_probationranger_d.png,11500011_f_probationranger_c.png,0,
11500019,금빛 숲지기 수렵 하의,11500019,63,59,51,20,18,15,11500017_F_LeatherFeather.gltf,11500017_f_leatherfeather_d.png,11500018_f_helenaeagleeye_c.png,0,
11500020,로빈훗 수렵 하의,11500020,63,59,51,20,18,15,11500018_F_HelenaEagleEye.gltf,11500018_f_helenaeagleeye_d.png,11500018_f_helenaeagleeye_c.png,0,
11500021,체인 청바지 (남),11500021,63,59,51,20,18,15,01500011_M_ChainSkinny.gltf,01500011_m_chainskinny_d.png,01500011_m_chainskinny_d.png,0,
11500022,레이스 청치마 (여),11500022,63,59,51,20,18,15,01500012_F_LaceDenim.gltf,01500012_f_lacedenim_d.png,01500012_f_lacedenim_d.png,0,
