#id,name,icon,r1,g1,b1,r2,g2,b2,gltf,ddsd,ddsc,haircutting,
-1,없음,-1,0,0,0,0,0,0,
11700001,초보자 운동화,11700001,63,59,51,20,18,15,11700001_F_StudentsRunningShoes.gltf,11700001_c_studentsrunningshoes_d.png,11700001_c_studentsrunningshoes_c.png,0,
11700002,캐쥬얼 운동화,11700002,63,59,51,20,18,15,11700002_F_FunctionalitySneakers.gltf,11700002_m_functionalitysneakers_d.png,11700002_m_functionalitysneakers_c.png,0,
11700003,가죽 워 부츠,11700003,63,59,51,20,18,15,11700011_F_HeavyGreave.gltf,11700011_c_heavygreave_d.png,11700011_c_heavygreave_c.png,0,
11700004,포인트 가죽 워 부츠,11700004,63,59,51,20,18,15,11700011_F_MetalGreave.gltf,11700011_m_metalgreave_d.png,11700011_m_metalgreave_c.png,0,
11700005,스파이크 가죽 워 부츠,11700005,63,59,51,20,18,15,11700004_F_RollingThunderSpike.gltf,11700004_c_rollingthunderspike_d.png,11700004_c_rollingthunderspike_c.png,0,
11700006,투박한 바이킹 워 부츠,11700006,63,59,51,20,18,15,11700005_F_LittleBoneWarBoots.gltf,11700005_c_littlebonewarboots_d.png,11700005_c_littlebonewarboots_c.png,0,
11700008,크란츠 워 부츠,11700008,63,59,51,20,18,15,11700005_F_LittleBoneWarBoots.gltf,11700005_c_littlebonewarboots_d.png,11700005_c_littlebonewarboots_c.png,0,
11700009,좀도둑 운동화,11700009,63,59,51,20,18,15,11700040_F_StrongLeather.gltf,11700040_m_strongleather_d.png,11700041_m_blackeyegoldline_c.png,0,
11700010,가죽 좀도둑 운동화,11700010,63,59,51,20,18,15,11700040_F_StrongLeather.gltf,11700040_m_strongleather_d.png,11700041_m_blackeyegoldline_c.png,0,
11700011,세련된 좀도둑 운동화,11700011,63,59,51,20,18,15,11700041_F_BlackEyeGoldline.gltf,11700041_m_blackeyegoldline_d.png,11700041_m_blackeyegoldline_c.png,0,
11700012,닌자 슈즈,11700012,63,59,51,20,18,15,11700042_F_Blackline.gltf,11700042_m_blackline_d.png,11700042_m_blackline_c.png,0,
11700014,자객 신발,11700014,63,59,51,20,18,15,11700042_F_Blackline.gltf,11700042_m_blackline_d.png,11700042_m_blackline_c.png,0,
11700015,해적 부츠,11700015,63,59,51,20,18,15,11700045_F_SHPirateBoots.gltf,11700045_c_shpirateboots_d.png,11700045_c_shpirateboots_c.png,0,
11700016,숙련 자객 부츠,11700016,63,59,51,20,18,15,11700042_F_Blackline.gltf,11700042_m_blackline_d.png,11700042_m_blackline_c.png,0,
11700018,초보 마법사 구두,11700018,63,59,51,20,18,15,11700018_F_LooseBasicBoots.gltf,11700018_c_loosebasicboots_d.png,11700018_c_loosebasicboots_c.png,0,
11700019,여행자 구두,11700019,63,59,51,20,18,15,11700018_F_LooseBasicBoots.gltf,11700018_c_loosebasicboots_d.png,11700018_c_loosebasicboots_c.png,0,
11700020,달빛 여행자 구두,11700020,63,59,51,20,18,15,11700019_F_AnnMoonlight.gltf,11700019_c_annmoonlight_d.png,11700019_c_annmoonlight_c.png,0,
11700021,견습 학자 구두,11700021,63,59,51,20,18,15,11700020_F_Golden.gltf,11700020_c_golden_d.png,11700020_c_golden_c.png,0,
11700022,요요의 요술 신발,11700022,63,59,51,20,18,15,11700020_F_Golden.gltf,11700020_c_golden_d.png,11700020_c_golden_c.png,0,
11700023,매지션 구두,11700023,63,59,51,20,18,15,11700020_F_Golden.gltf,11700020_c_golden_d.png,11700020_c_golden_c.png,0,
11700024,마법사 슈즈,11700024,63,59,51,20,18,15,11700023_F_SHMageShoes.gltf,11700023_c_shmageshoes_d.png,11700023_c_shmageshoes_c.png,0,
11700025,브론즈 매지션 슈즈,11700025,63,59,51,20,18,15,11700020_F_Golden.gltf,11700020_c_golden_d.png,11700020_c_golden_c.png,0,
11700027,숲지기 워커,11700027,63,59,51,20,18,15,11700029_F_WornOutGuarderShoes.gltf,11700029_c_wornoutguardershoes_d.png,11700029_c_wornoutguardershoes_c.png,0,
11700028,금빛 숲지기 워커,11700028,63,59,51,20,18,15,11700029_F_WornOutGuarderShoes.gltf,11700029_c_wornoutguardershoes_d.png,11700029_c_wornoutguardershoes_c.png,0,
11700029,로빈훗 워커,11700029,63,59,51,20,18,15,11700031_F_HelenaEagleEye.gltf,11700031_c_helenaeagleeye_d.png,11700031_c_helenaeagleeye_c.png,0,
11700030,사냥꾼 가죽 워커,11700030,63,59,51,20,18,15,11700032_F_Shooting.gltf,11700032_c_shooting_d.png,11700032_c_shooting_c.png,0,
11700031,해녀의 오리발,11700031,63,59,51,20,18,15,11700032_F_Shooting.gltf,11700032_c_shooting_d.png,11700032_c_shooting_c.png,0,
11700032,헌팅 가죽 워커,11700032,63,59,51,20,18,15,11700032_F_Shooting.gltf,11700032_c_shooting_d.png,11700032_c_shooting_c.png,0,
